event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,runner_on_first_base_thirst,runner_on_first_continuation,runner_on_first_ground_friction,runner_on_first_indulgence,runner_on_first_laserlikeness,runner_on_first_multiplier,runner_on_second_base_thirst,runner_on_second_continuation,runner_on_second_ground_friction,runner_on_second_indulgence,runner_on_second_laserlikeness,runner_on_second_multiplier,runner_on_third_base_thirst,runner_on_third_continuation,runner_on_third_ground_friction,runner_on_third_indulgence,runner_on_third_laserlikeness,runner_on_third_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,fielder_multiplier,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,runner_on_first_name,runner_on_second_name,runner_on_third_name,batter_vibes,pitcher_vibes,fielder_vibes,runner_on_first_vibes,runner_on_second_vibes,runner_on_third_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,runner_on_first_mods,runner_on_second_mods,runner_on_third_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll,batter_consecutive_hits
Party,7.930507790976371e-05,True,1.0007192551900141,0.9830652488298433,0.21294809179756236,0.8648669599145393,0.30825106569752414,0.31092351299589627,0.7151845335402063,0.1,0.9105786927155393,0.05193657518139272,0.4637988297835083,0.24761057952116228,0.15805568307063145,0.45994858567795815,0.3873649474481248,0.7186678057473431,0.48603286611628105,0.6568321283189816,0.3844384744149788,0.4505414141106907,0.7431201825389631,0.490601423385683,0.09841586000816349,0.14812973200265112,0.306223452293332,0.47298694061060265,1,0.1752942999015851,0.5636715098216775,0.9739828973039489,0.6591340242777256,0.2266587159865662,1,0,0,0,0,0,1,0,0,0,0,0,1,0.01,0.4502472288337144,0.1350712982957679,0.6451427456510231,0.7861141907399106,0.99,0.556,0.1,0.4603763093512032,0.7790681696087698,0.5513377812966251,0.09241051033940419,0.05180596134093564,0.7823552145782384,0.8845910098813575,0.01,0.8228309375419426,0.0753173812227251,0.01,0.8910778761004635,0.1774866285887081,0.6916139563915255,0.42609749506327,0.5471043339729548,0.5991665436375463,0.8868431243803815,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.6352720081881018,0,0,Theodore Duende,Sixpack Dogwalker,,Oliver Mueller,,,0.08338174415863725,0.8868431243803815,0,-0.8747497410130692,0,0,SPICY,,FLICKERING;RECEIVER,PARTY_TIME,,,,,d0b9b6a6-533f-412a-8218-236e08632b77,,46,Weather.FLOODING,0,1,1,11,84,True,0,0,1,16,15,1,True,0.1638274175597938,0.6738555197118969,,0
Party,0.00033633088819207124,True,0.7909916600467954,0.17765504726500786,0.001,0.4446492650008234,0.7755171362205506,0.9293090556553592,0.48149434012812825,0.30000000000000004,0.7818977030776724,0.13885604312700822,0.49353188407325205,0.6027334753468994,0.019806335742375614,0.01,0.001,0.026688259196619935,0.001,0.6500137214628332,0.6091085086644215,0.01,0.3116697710770961,0.17865028972097158,0.01,0.01,0.7284504542962638,0.7160727501850884,1,0,0,0,0,0,1,0.22252641133703843,0.9968711327113444,0.015430561930310116,0.013190626926588012,0.8297265307168118,1,0,0,0,0,0,1,0.180665228295976,0.09045650789479781,0.9248965971661207,0.24673756929087265,1.0290022288424512,0.22292497650495224,0.49530956661190695,0.02579853473514157,0.23997653227484123,0.45629812975587586,0.7937966241437521,0.7771145142657339,0.5986101041041775,0.5269914794362663,0.7947773487486818,0.2454365333202445,0.5492234354180446,0.9352827401799368,0.6656676021435037,1.0058338288429338,0.5757720602773769,0.36962182870839655,0.957319716872812,0.7432211932864455,0.37345709497029933,0.3356884119960702,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.33324741841567973,0,0,Ren Morin,Nandy Slumps,,,Usurper Violet,,0.7160727501850884,-0.37345709497029933,0,0,0.08589341255096286,0,PERK,FIREPROOF;SEALANT,,PARTY_TIME,,,,,2e5b8a4a-3fef-4756-b2c9-b651c4813e68,,159,Weather.FLOODING,0,0,2,11,84,False,0,0,4,12,15,1,False,0.6572425514974229,0.6220075544494268,,0
Party,0.0021478623146584663,True,0.7451261953776713,0.8992582906482982,0.5561318685895045,0.9845807638696438,0.5112664219248062,0.19265464950594868,0.31356833262581985,0.1,0.7114606910561565,0.08953577007213998,0.7302402380024593,0.4794309898350233,0.7068356172474264,0.8551896906665326,0.12649894630944858,0.5174945836552169,0.7009343974453073,0.8276272750973617,0.5636732019580661,0.01,0.11941547599075783,0.7634042074310031,0.14219493287324422,0.24418794283681575,0.5871506451142308,0.3759041675039605,1,1.0991426060323863,0.4040564289455306,0.9198520013508601,0.7371799464720293,0.6802247829931226,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7148821822385913,0.3757125695901599,0.8564677298401965,0.8178051655560172,0.9527622480521809,0.4614170843909727,0.6269019168583696,0.1,0.7206452040034892,0.7253631065906119,0.8416650412468916,0.16833218106653214,0.7568675376862085,0.48811726386293597,0.9249418977688818,0.466762914920029,0.1605597202835483,0.10311704612332348,0.3295632415916062,0.888059839050486,0.11694425106899803,1.0342224680006356,0.13165046950052534,0.5703846320786203,0.501814646990403,0.5609839213910567,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.682673021056994,0,0,Malik Destiny,Orville Manco,,Greer Gwiffin,,,-0.46605167796644476,-0.3681734385868626,0,-0.16021399166662295,0,0,ALTERNATE;FIRE_EATER,,,PARTY_TIME,,,,,70b41f97-76d3-4fc9-98ab-7b0e843b40c0,,150,Weather.BIRDS,0,0,1,11,86,True,3,4,4,16,15,1,True,0.5882965552295016,0.602092666164887,,1
Party,0.002277478463132976,True,0.13041565458204102,0.3964800313926656,0.7030897078787854,0.6223353235519289,0.11917028007794576,0.4384864177230044,0.31943291112333433,0.1,0.6448240331775138,0.2831215116910555,0.42346742362702944,0.6233489563827709,0.5605754398313326,0.6426333079877898,0.4813956010301392,0.8591185252454525,0.6861708190838193,1.0782780313868574,0.8462223001729333,0.7674701924700937,0.555661781665263,1.0536232891474795,0.6329025403704165,0.2939315098863539,0.725807241207326,0.8045469615120213,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8334334146827689,1.041356895251284,0.42863743456915765,0.3461285546900007,0.6162902537456035,0.01,0.717815874552366,0.1,1.0352212542411443,0.559580904385477,0.599263073358022,0.2509851812112263,1.159031856150566,0.6066316790975008,1.1050385552266102,0.37855869910616335,0.5713514447427515,0.7084696512980069,1.0232350460641721,1.2434711852100353,0.8350716662645024,0.34293523697285977,1.1215559060178926,0.9996358867216696,0.4748521086987548,0.8658734201938985,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.879294736918879,0,0,Alexander Horne,Stevenson Heat,,,,,-0.13089806308418606,0.6134750029256886,0,0,0,0,,LOVE;PARTY_TIME,ALTERNATE;FRIEND_OF_CROWS,,,,,,82dc0052-aada-460e-993f-2cb4a33c0ed7,,163,Weather.FLOODING,0,1,0,11,86,False,2,2,4,15,13,0,True,0.47658312225447874,0.7081390576774486,,0
Party,0.005386530481323426,True,0.6494846300086964,0.9361087064938158,1.3091739003707417,1.2112495514164536,1.1596553708951713,0.01,1.3305964388197544,0.1,0.7070591310026018,0.882470682232628,0.6799938087971988,0.701387754392677,0.45668793069101343,0.6963351687766277,0.879935482256345,0.26058080149996077,0.5199413533521543,0.99492399644128,0.655553799323151,0.31900002142920425,0.977518544399246,1.0413106605658968,0.3905241474307879,1.0775508392225381,0.026243309951627047,0.5083787771037228,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.27282892086606325,0.5094696173785349,0.43907606605313476,0.5982572879627452,0.04932166259766113,0.5907421232957877,0.9499957398327346,0.1,0.32379183875697626,0.690905517532387,0.06550298398552923,0.7808221308672405,0.04745980831271046,0.176472091028407,0.2370811393513783,0.5828709601372475,0.665659348625889,0.8955648961055218,0.7522961338642171,0.3551091705770786,0.040046054769621975,0.8380184418988099,0.04921049296746727,0.9663188669104426,0.9077260162603775,0.5017245273661204,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.2049280743658406,0,0,Alston Cerveza,Kit Adamses,,,,,0.2410677335760493,-0.5553633803537563,0,0,0,0,,,,PARTY_TIME,,,,,81d35606-06fa-4de9-95d7-c753bf2aeddb,,24,Weather.REVERB,3,1,1,11,87,True,0,4,0,15,15,0,False,0.9883805122979545,0.614489387311275,,0
Party,0.004414155726259139,True,1.1613275670429302,0.3274539137861463,0.7737541699385161,0.5216750814405207,0.6409683089787114,0.670119660887764,0.7655407860601143,0.1,0.8325854716856268,0.7427616386690545,0.19839225347901532,0.6896500869285658,0.5258654062024429,0.3766434312348995,0.8915040549971025,0.6650416747229091,1.0774450250132768,0.2899604338017408,0.36704677978998357,0.6910462384906211,0.41209169318836514,0.5876325644276553,0.37071745673186157,0.9705030888988613,0.4557744108889843,0.6187237930591268,1,0,0,0,0,0,1,0.780688835734565,0.8819366648900164,0.36373150104575175,0.5865034973221178,0.9069461860648763,1,0,0,0,0,0,1,0.27282892086606325,0.5094696173785349,0.43907606605313476,0.5982572879627452,0.04932166259766113,0.5907421232957877,0.9499957398327346,0.1,0.32379183875697626,0.690905517532387,0.06550298398552923,0.7808221308672405,0.04745980831271046,0.176472091028407,0.2370811393513783,0.5828709601372475,0.665659348625889,0.8955648961055218,0.7522961338642171,0.3551091705770786,0.040046054769621975,0.8380184418988099,0.04921049296746727,0.9663188669104426,0.9077260162603775,0.5017245273661204,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.28002503603838047,0,0,Jesús Koch,Kit Adamses,,,Commissioner Vapor,,0.3500992420720982,-0.5553633803537563,0,0,0.25560277015250593,0,ALTERNATE,,,PARTY_TIME,,,PERK,,81d35606-06fa-4de9-95d7-c753bf2aeddb,,70,Weather.REVERB,0,2,1,11,87,True,0,6,1,15,15,1,True,0.39700981963807425,0.47859684411386594,,0
Party,0.004411044138123765,True,0.9699193784730594,0.5773276152124404,0.8590180534512071,0.301871489022167,0.7201113921506672,0.06914334668080856,0.4987294467659763,0.05044797732084477,0.9429079577829758,0.07992498641115446,0.3348579287793561,0.274333840430848,0.7946086084455415,0.5901134253960103,0.5507256890368086,0.626426751468702,0.19185114656026542,0.1847552832234965,0.4283897606930526,0.5212033566553841,0.6793002821902643,0.18193234970584898,0.4193807203311185,0.9428295386076163,0.9992833150775509,0.20015280032861427,1.043939393939394,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.2154235322404734,0.4903245678290087,0.00730484263039477,0.29089214398241103,0.23798287432584098,0.6060888591475204,0.6262575468037028,0.1,0.9590674238298682,0.09486728874086525,0.12807408467196235,0.48290297826462103,0.06942842597395393,0.2804780559418507,0.4081988057346071,0.9798143146805331,0.5358563216588286,0.5510562653266866,0.25443781841148283,0.8713519303296302,0.5304538429273677,0.7180303754810904,0.09555069829278517,0.005613050789808449,0.4216766595638224,0.8068528336976653,1,0,0,0,0,0,1.043939393939394,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.9513552335495168,0,0,Inez Owens,Coolname Galvanic,,,,,-0.9536324961637687,0.6269388548533577,0,0,0,0,ALTERNATE,GROWTH,TRIPLE_THREAT,PARTY_TIME,,,,,088c172d-41fb-42d8-923d-bbd69347653a,,104,Weather.FLOODING,0,0,2,11,87,False,2,0,2,16,15,0,False,0.9744293265923425,0.45650884352821225,,1
Party,2.4500900235313594e-05,True,1.2392588130708035,0.6036426325094386,0.8671050861026661,0.5713006015102055,0.43045089498897915,0.3037597272329726,0.8183194657011186,0.039228311678097094,1.043756006846704,0.854289406786003,0.5700303243240927,0.36887301048256427,0.8066369143215987,0.9539966916763015,0.748984466343027,0.7553562727749803,1.120360036606793,0.9567754486860667,0.8880552580626633,0.7452495250443381,1.2171393108823174,0.48509918403737445,0.7518140445773905,1.24613222743608,0.17781502906147062,0.17649982578775922,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.27591677111698526,0.24501908172911846,0.513413389416473,0.426630331765121,0.3345286106142956,0.7172406280488961,0.4437022207395701,0.1,0.48994391202655946,0.27022138121134437,1.1595661899888028,0.8797101463452612,0.750921028818443,0.5662005689542737,0.8443793874839141,0.18787445893786564,1.135592439636556,0.3584439361602173,0.5562343106871288,0.6203953247643341,0.6350559273838529,0.32431281514024984,0.32491354700213826,0.8343292362849792,0.6865362684784002,0.6431148428775638,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.19819595244385813,0,0,Helga Moreno,Inky Rutledge,,,,,0.08792111207545147,-0.3541234906394123,0,0,0,0,,LOVE;PARTY_TIME,,O_NO,,,,,27415597-00ee-4b69-b0d0-c0dc32626b56,,121,Weather.FLOODING,1,0,2,11,87,True,0,1,2,15,14,0,True,0.23917377651348026,0.46382533250982827,,1
Party,0.002119338008109928,True,0.13041565458204102,0.3964800313926656,0.7030897078787854,0.6223353235519289,0.11917028007794576,0.4384864177230044,0.31943291112333433,0.1,0.6448240331775138,0.2831215116910555,0.42346742362702944,0.6233489563827709,0.5605754398313326,0.6426333079877898,0.4813956010301392,0.8591185252454525,0.6861708190838193,1.0782780313868574,0.8462223001729333,0.7674701924700937,0.555661781665263,1.0536232891474795,0.6329025403704165,0.2939315098863539,0.725807241207326,0.8045469615120213,1,0.8090653184187909,0.8982900399887376,0.7597490175468623,0.4660322375189851,0.20227389277768054,1,0,0,0,0,0,1,0,0,0,0,0,1,0.27591677111698526,0.24501908172911846,0.513413389416473,0.426630331765121,0.3345286106142956,0.7172406280488961,0.4437022207395701,0.1,0.48994391202655946,0.27022138121134437,1.1595661899888028,0.8797101463452612,0.750921028818443,0.5662005689542737,0.8443793874839141,0.18787445893786564,1.135592439636556,0.3584439361602173,0.5562343106871288,0.6203953247643341,0.6350559273838529,0.32431281514024984,0.32491354700213826,0.8343292362849792,0.6865362684784002,0.6431148428775638,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.2839888586896795,0,0,Alexander Horne,Inky Rutledge,,Helga Burton,,,-0.6500308866045269,-0.3541234906394123,0,0.04916709512823564,0,0,,LOVE;PARTY_TIME,,O_NO,,,,,27415597-00ee-4b69-b0d0-c0dc32626b56,,278,Weather.FLOODING,0,0,1,11,87,True,2,4,5,15,14,1,False,0.9183662202382405,0.43007401811955076,,1
Party,0.0048201294529590655,True,0.6603740887520025,0.28880618096159716,0.4446981570175468,0.36196196582338225,0.4804320548968539,0.01,0.5638052106789253,0.1,0.8081918000628536,1.0429813001984338,0.5713543052262465,0.23600250547919174,0.6838925159153432,0.3551693644952971,1.0379232279767994,0.5446320610277624,0.8486199948605994,0.5576528452436991,0.3147126931822127,0.709099060898585,1.0250420908732556,1.5409585045140068,0.5517307649199976,1.2946249642245753,0.6822997757659564,0.25683625551563705,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.9928506359539357,1.104240254448786,0.553146145352327,0.5496916004173407,0.5862023499874496,0.1019397420247879,0.6814926851876588,0.1,0.6055834843936768,0.2654476094498628,0.31070947825367823,1.1287153500214018,0.3626270551720261,0.24430491885263714,0.8961044728195837,0.614989813534976,0.27284265573274824,0.5574150180512005,1.0131516279709263,1.2325362561363695,1.0914062097764146,1.198402705242256,0.8499584585550897,0.5000803751034921,0.8019224362991275,0.6351124196952442,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.339949210052203,0,0,Cedric Spliff,Ronan Jaylee,,,,,-0.15613159036573532,-0.8019224362991275,0,0,0,0,,,,PARTY_TIME,,,,,3dc75ac0-dc44-4234-81b9-f8a3ee5e13db,,8,Weather.PEANUTS,0,0,1,11,88,True,0,0,0,15,15,0,True,0.10064227175248175,0.521363659835974,,1
