,event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,batter_vibes,batter_vibes_multiplied,pitcher_vibes,pitcher_vibes_multiplied,fielder_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll
0,StealSuccess0,0.7886120206762224,False,1.0145671861162495,0.673964637289433,0.6441117357397492,0.45377118108138204,0.9001470982385724,0.3403648240231312,0.37678274884806967,0.1,0.8678098364879663,0.6939171435685227,0.12783239025226104,0.658092186102814,0.1471418620298058,0.31967078220332557,0.652091678348791,0.15071006322014213,0.9644394716502434,0.786561073327619,0.18429627120896575,0.7308364836845203,0.8451898538242159,0.536060335040181,0.5542516292531157,0.41700081032250846,0.7025910507776383,0.3596144069359151,1.0,0.25234131680242883,1.0591722645974397,0.6662891544084,0.9036383219999143,0.7542853801355397,0.030161018375360976,0.31276184687213915,0.027972130874091686,0.7356551279282674,0.38232879005130593,0.3190067646140903,0.228320991937362,0.6983261001937082,0.760798909188042,0.9089121553233835,0.3523839042953375,0.9085082515644397,0.2882634062959107,0.780673979814564,0.7312943528325184,0.9367549567762787,0.7035883100546467,0.7762932049780229,0.413011320445698,0.9299839526270681,0.3095305726249118,1.0,0.416501393692422,0.4273141595424367,0.3510722482506623,0.47726757969831135,0.37667222369689807,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.8267759221718454,0,0,Stu Trololol,Yeong-Ho Garcia,,0.03175589329651529,0.03175589329651529,-0.20260697075022727,-0.20260697075022727,0,ALTERNATE;FLINCH,TRAVELING;EXTRA_STRIKE,ALTERNATE;FRIEND_OF_CROWS,LOVE;EXTRA_STRIKE;BASE_DEALING,,d20b0c02-28f6-47be-a33e-2d0f9ac72eef,,42,15,1,2,12,29,False,2.0,0.0,0,15,16,['d47dd08e-833c-4302-a965-a391d345455c'],False,0.7661293190826453,0.5270056230221846,
1,StealSuccess1,0.5064985724125977,True,0.7676879619008992,0.88923123303327,1.1012843597334974,1.126339819079937,0.5504386167931167,0.001,1.0479187768288007,0.001,1.0194794657357429,1.0259753023679132,0.3682818141888992,1.0346692664772996,0.5499507198672546,0.5248036911625428,0.780688835734565,0.8819366648900164,0.36373150104575175,0.5865034973221178,0.9069461860648763,0.3493684176238053,0.9854494509627565,0.39536473379763115,0.5285900530749541,0.3234223410173554,0.10996281464053581,1.0228799275917995,1.0,1.1885169984049826,0.6466008441215553,0.4914344905683223,1.3092354834318072,0.3278772193255395,0.3399924699317661,0.352562057877577,0.03191080854762832,0.7018136647562827,0.5197413367317649,1.1092440996163675,0.9057391234434841,1.2092574174372317,0.8656105502689228,0.609370169664547,1.1621463860111954,0.8398837229405974,0.526855780302702,0.7127921661091291,1.022955481568252,0.6137591048038887,0.9935160947162727,0.6546509417986054,0.6629203161535944,0.7929548444732764,0.9077416632862686,1.0,0.39554856940397776,0.23727217873804202,0.21367922715921728,0.3866680904601925,0.37608481207714006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.4457418443164245,0,0,Commissioner Vapor,King Weatherman,,0.966786577965902,0.966786577965902,-0.59401114519403,-0.59401114519403,0,PERK,EARLBIRDS,,O_NO,,70b16d84-cfd7-4dea-ae5f-c867003fd80f,,44,10,2,0,12,29,False,2.0,0.0,0,15,14,['a7d8196a-ca6b-4dab-a9d7-c27f3e86cc21'],False,0.789229723897032,0.6499205982703022,
2,StealSuccess1,0.6855766243052805,False,0.4727917666846707,0.5018007398105797,0.760434193739627,0.1459989848916785,0.7180434600697801,0.8961284429173463,0.4805662837636203,0.1,0.36438834368640494,0.12287233845839204,0.14731792379414727,0.07651282409130554,0.5406771047256826,0.3849624842538797,0.4146745190441065,0.5821390704166881,0.33219578379328984,1.0966100091766435,0.6445044526117817,0.27020942237692586,0.5826177920905622,0.42811141435094463,0.0737267998206081,0.6344370840197506,0.8537126873104568,0.5432417857251454,1.0,0.46516863078909765,0.5087262718751369,0.9414063818466856,0.24353690071354417,0.8572792294825538,0.8761797812771421,0.9777070964263077,0.5990927032323419,0.34527311907360225,0.552458570387363,0.887522158935494,0.899640387885942,0.4959568986228149,0.04790551285334055,0.9601701957106357,0.33469875091159706,0.2616939584380169,0.7482584309134932,0.9230698862064899,0.5937144750293353,0.23603548776746375,0.9175350963737656,0.9240143737045516,0.5225446837337044,0.8539498378765451,0.8229743486129422,1.0,0.31306124710521055,0.24438090105410934,0.2272055541521859,0.26450552793846516,0.3096737588006808,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.13717833066574592,0,0,Stephens Lightner,Ankle Halifax,,-0.612640766542778,-0.612640766542778,-0.5645636463993551,-0.5645636463993551,0,,EXTRA_STRIKE,,UNDERSEA,,3276c25b-be8b-4016-a763-a1aaa350c9ab,,49,11,0,0,12,29,True,0.0,0.0,1,15,14,"['4f328502-d347-4d2c-8fad-6ae59431d781', '9c3273a0-2711-4958-b716-bfcf60857013']",False,0.7619639219153007,0.6389255828865201,
3,StealSuccess1,0.26754936349313563,True,0.48686969082644876,0.35363085852904463,0.4275148137613481,0.8780683550858845,0.5585488030743212,0.24664695363511144,0.770858553255361,0.027467178344004875,0.4023122578051942,0.1186417016812539,0.41558012769234964,0.9153753782176891,0.9625871723423131,0.01095736648714718,0.7769397558379246,0.363366949227036,0.9194899248326318,0.37855189875222833,0.6683849602392222,0.32589098625568935,0.3157730241253119,0.9774763805526883,0.86754751590297,0.3316356966319498,0.9542058101905553,0.7439991252086449,1.0,0.06175643715889385,0.5065567425979147,0.18253680320255866,0.7233310115808446,0.8654583270039566,0.9476937121631471,0.6130144872665468,0.030272895759267004,0.5156501842184871,0.85889381590241,0.6203324500341667,0.15826474558530457,0.12621328501673035,0.828581183223886,0.9439164183055552,0.06104123798158479,0.8661247156091836,0.13103207532010705,0.05965273454152789,0.9319521726975573,0.24707781127270825,0.7495450235659818,0.47597921140319577,0.6051528838354554,0.5991665436375463,0.9590248733694346,1.0,0.5249750997670268,0.4486411457278375,0.41819259186882674,0.4641521752772845,0.45379406515454795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.9554515828503245,0,0,Lang Richardson,Sixpack Dogwalker,,-0.6611472076834688,-0.6611472076834688,0.6656873937897768,0.6656873937897768,0,,AFFINITY_FOR_CROWS,FLICKERING;RECEIVER,,,2e804b0c-540e-4831-bca5-3dba6af4c165,,61,10,1,1,12,29,False,1.0,0.0,1,12,15,"['da0bbbe6-d13c-40cc-9594-8c476975d93d', 'dd6044ef-c635-4aed-97bd-d18068432b8f']",True,0.31597932854100574,0.4319554210112454,
4,StealSuccess0,0.5549281743836925,True,1.0100147117494545,0.18457661596365033,0.11082083941890458,0.15190775859289213,0.6751957997761661,0.6307777967986928,1.0336981793928568,0.05727096766465691,0.8077522948518545,1.0073686322681688,0.45504721415984906,0.29587176746826516,0.582769937185207,0.53532779719103,0.9964558683129352,0.23039570198732062,0.37181168265566217,0.45563566046697856,0.6078508353179886,0.6548683567379795,0.8983158158432681,0.48939392003481935,0.9729553896152986,0.2779018039074381,0.8262264248268625,0.26378062859294915,1.0,0.06175643715889385,0.5065567425979147,0.18253680320255866,0.7233310115808446,0.8654583270039566,0.9476937121631471,0.6130144872665468,0.030272895759267004,0.5156501842184871,0.85889381590241,0.6203324500341667,0.15826474558530457,0.12621328501673035,0.828581183223886,0.9439164183055552,0.06104123798158479,0.8661247156091836,0.13103207532010705,0.05965273454152789,0.9319521726975573,0.24707781127270825,0.7495450235659818,0.47597921140319577,0.6051528838354554,0.5991665436375463,0.9590248733694346,1.0,0.5249750997670268,0.4486411457278375,0.41819259186882674,0.4641521752772845,0.45379406515454795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.08933937282727,0,0,Yusef Puddles,Sixpack Dogwalker,,-0.07265907786453105,-0.07265907786453105,0.6656873937897768,0.6656873937897768,0,,AFFINITY_FOR_CROWS,FLICKERING;RECEIVER,,,2e804b0c-540e-4831-bca5-3dba6af4c165,,62,10,1,1,12,29,False,1.0,0.0,1,12,15,"['da0bbbe6-d13c-40cc-9594-8c476975d93d', 'dd6044ef-c635-4aed-97bd-d18068432b8f']",False,0.9236701220403147,0.4319554210112454,
5,StealSuccess0,0.9522923612290399,False,0.5520889504233146,0.7013126941876417,0.7985286434019251,0.7991052280977355,0.44094710299488404,0.8192790598656311,0.40633808176302433,0.04552946545085365,0.09046686863975151,0.12547940907303293,0.9252527204264245,0.49665672111682996,0.545411483072626,0.565972990912836,0.8500538991587934,0.9458261676688721,0.8308572189984347,0.5211360668642275,0.2599509727964947,0.17358190093012835,0.6681085401809742,0.07959767838908315,0.5843680308042886,0.32543504541390084,0.10248119805293276,0.11038416451416797,1.0,0.8564251760353874,0.48198101040091523,0.6777698562725456,0.23527781797004163,0.5434017095746599,0.3232664444443534,0.8671321957099127,0.1,0.7794534694455337,0.983506336659542,0.26621267583708264,0.4901830111440246,0.941810249752848,0.6262153486950892,0.8230621471372752,0.2844954356624829,0.8848857279487969,0.8049732052699707,0.05586830633413918,0.6965900068509856,0.949416836232919,0.15938797913822242,0.22334853794823803,0.7745016810895935,0.084464990259979,0.8006059417868319,1.0,0.632123451583164,0.7466440964770806,0.6391162200272854,0.8342023431609776,0.7014604057445178,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.6303508163438611,0,0,Helga Burton,Snyder Briggs,,-0.08822192255382948,-0.08822192255382948,0.7623467405948601,0.7623467405948601,0,,LOVE;EXTRA_STRIKE;BASE_DEALING,ALTERNATE;WILD,TRAVELING;EXTRA_STRIKE,,d20b0c02-28f6-47be-a33e-2d0f9ac72eef,,62,15,0,3,12,29,True,2.0,0.0,1,16,15,['bd24e18b-800d-4f15-878d-e334fb4803c4'],False,0.7081111774068258,0.4348576523826772,
6,StealSuccess1,0.06401681267587955,True,0.3265819041209915,0.31938608573078003,0.9913493998149966,0.7345742922231192,0.40110398979356676,0.4193219316207703,0.7527336949925756,0.1,0.08882595273913291,0.3632442676724865,0.36984975362869427,0.4225360417865902,0.8322241116542775,0.8661957188102648,0.662339616605725,0.15379617235458046,0.8850132107596398,0.01,0.8182080581718298,0.28397191007004674,0.7899707052403568,0.42653344532720894,0.3545055723596323,0.1662227861629699,0.39291584601211,0.1707800116760599,1.0,0.46516863078909765,0.5087262718751369,0.9414063818466856,0.24353690071354417,0.8572792294825538,0.8761797812771421,0.9777070964263077,0.5990927032323419,0.34527311907360225,0.552458570387363,0.887522158935494,0.899640387885942,0.4959568986228149,0.04790551285334055,0.9601701957106357,0.33469875091159706,0.2616939584380169,0.7482584309134932,0.9230698862064899,0.5937144750293353,0.23603548776746375,0.9175350963737656,0.9240143737045516,0.5225446837337044,0.8539498378765451,0.8229743486129422,1.0,0.31306124710521055,0.24438090105410934,0.2272055541521859,0.26450552793846516,0.3096737588006808,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.901766978917196,0,0,Kathy Mathews,Ankle Halifax,,-0.062125537945049866,-0.062125537945049866,-0.5645636463993551,-0.5645636463993551,0,ALTERNATE,EXTRA_STRIKE,,UNDERSEA,,3276c25b-be8b-4016-a763-a1aaa350c9ab,,109,11,0,0,12,29,True,0.0,0.0,3,15,14,['9c3273a0-2711-4958-b716-bfcf60857013'],False,0.8282728350758832,0.5978677199058784,
7,StealSuccess0,0.7429490135980905,False,1.104717874221194,0.8382326730191755,1.1843073356356104,0.4121412369870784,0.37838181883120126,0.001,1.2423405373329628,0.001,1.0327488635246762,0.6899701513120295,0.9957352631826504,0.7810719645979081,0.5959362816499624,0.7944182975528054,0.7914861206778269,0.35121215524702387,0.2895686397302656,0.2366787008080446,0.31148034189307927,0.251383095099306,0.6112399116935008,0.06646621909086135,1.024260205523409,0.06768299028309699,0.49077389948719286,0.3538392087265827,1.0,1.1885169984049826,0.6466008441215553,0.4914344905683223,1.3092354834318072,0.3278772193255395,0.3399924699317661,0.352562057877577,0.03191080854762832,0.7018136647562827,0.5197413367317649,1.1092440996163675,0.9057391234434841,1.2092574174372317,0.8656105502689228,0.609370169664547,1.1621463860111954,0.8398837229405974,0.526855780302702,0.7127921661091291,1.022955481568252,0.6137591048038887,0.9935160947162727,0.6546509417986054,0.6629203161535944,0.7929548444732764,0.9077416632862686,1.0,0.39554856940397776,0.23727217873804202,0.21367922715921728,0.3866680904601925,0.37608481207714006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.705312902991774,0,0,Eugenia Garbage,King Weatherman,,-0.18403701970423408,-0.18403701970423408,-0.59401114519403,-0.59401114519403,0,,EARLBIRDS,,O_NO,,70b16d84-cfd7-4dea-ae5f-c867003fd80f,,110,10,0,0,12,29,False,5.0,1.0,1,15,14,['90768354-957e-4b4c-bb6d-eab6bbda0ba3'],True,0.17902082768526428,0.46900601133669295,
8,StealSuccess0,0.28443553061258475,True,0.38603089240340305,0.7713692195105495,0.8457168018989638,0.8537989533680859,0.20654656507183855,0.5126596030997379,0.11942548667728459,0.1,0.21881318747016,0.47118082825231866,0.41478743157637576,0.8754590923766117,0.20892497380025032,0.013537506611713379,0.8418575778719755,0.32543677123595094,0.5626231452405197,0.19198226294633502,0.2652635531140155,0.11454144851994763,0.13720428870256662,0.9782504927686251,0.5733329069419681,0.7505142281496187,0.7422268988153553,0.6693358674030079,1.0,0.5623325907391223,0.061844182192974446,0.23418035550907268,0.23873352529759573,0.9392967557095007,0.2602105390817726,0.2578128947674738,0.040000000000000015,1.1089262813278693,0.4889230055780861,1.0488857277543648,0.7710520499037187,0.3378824303115333,0.8268264044317687,0.5166961351202788,0.7721746381510302,0.5377012608795222,0.3143359555169989,0.08154083043554738,0.5119227587060775,0.4789110534870715,0.43422169256121146,0.234134150575378,0.881366456611439,0.012960550734828935,0.8193659422142104,1.0,0.2429830122835158,0.3595153628300192,0.39240352365005304,0.46716055677914115,0.412331523403524,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.38979460755368156,0,0,Stijn Strongbody,Hiroto Wilcox,,0.53454361754261,0.53454361754261,0.04279475217135237,0.04279475217135237,0,,,FRIEND_OF_CROWS,FIREPROOF;SEALANT;AMBUSH,,aedd1c0b-c57d-4414-8d83-33c9602dfcd8,,111,1,0,0,12,29,True,4.0,1.0,3,15,12,['e2f39815-5291-4dcf-ba19-97dcf0c015e9'],True,0.17902082768526428,0.46900601133669295,
9,StealSuccess0,0.8940695828480925,False,1.2284973618565782,0.554423143609101,0.8875859287621417,1.21979806795042,0.8445186275821823,0.5615678719384499,0.746042461562947,0.2,0.9591432533059159,0.2508588799672564,0.9930498596218648,0.4507202510855136,0.7717668992812586,0.5491696745439952,1.0959764826781084,1.272466390385457,0.6878847424750009,1.1913013549685243,0.8308211213547703,1.1128119372118075,1.0769321359966848,0.6729734738069785,0.35493108363478265,0.5066872535586587,0.7155318584625154,0.3840100485654358,1.0,0.7774647130492878,0.9729067036991206,0.8217521419401769,0.9893340365778618,0.18360033496692613,0.31055947491059094,0.5073882772586505,0.042680404065261794,0.28482116193179136,0.6373286526480435,0.49026801120405694,0.8491036843930051,0.7778450999599711,0.13094234578446037,0.13959866014970324,0.5933666008820683,0.9094930813798252,0.3309677096440477,0.8226487850629378,0.3171360690503211,0.9834854827399374,0.9700847584204311,0.2634122298501186,0.8244224217921675,0.11459248149861184,0.22501789540876432,1.0,0.260701971275082,0.26189660112988944,0.25559426141339053,0.25287709125379837,0.2780950933611276,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,0.6259842634367285,0,0,Basilio Mason,Rivers Clembons,,-0.5869098888761433,-0.5869098888761433,0.2082018953601527,0.2082018953601527,0,,,ALTERNATE,LIFE_OF_PARTY;ELECTRIC,,bd3d2cfb-25a9-48bf-9675-e28538f36e4f,,118,1,0,1,12,29,True,0.0,0.0,3,9,14,['27c68d7f-5e40-4afa-8b6f-9df47b79e7dd'],True,0.6086855951347236,0.6156875376952156,
