event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,runner_on_first_base_thirst,runner_on_first_continuation,runner_on_first_ground_friction,runner_on_first_indulgence,runner_on_first_laserlikeness,runner_on_first_multiplier,runner_on_second_base_thirst,runner_on_second_continuation,runner_on_second_ground_friction,runner_on_second_indulgence,runner_on_second_laserlikeness,runner_on_second_multiplier,runner_on_third_base_thirst,runner_on_third_continuation,runner_on_third_ground_friction,runner_on_third_indulgence,runner_on_third_laserlikeness,runner_on_third_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,fielder_multiplier,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,runner_on_first_name,runner_on_second_name,runner_on_third_name,batter_vibes,pitcher_vibes,fielder_vibes,runner_on_first_vibes,runner_on_second_vibes,runner_on_third_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,runner_on_first_mods,runner_on_second_mods,runner_on_third_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll,batter_consecutive_hits
Stay,"[0.3395115283460264, 0.7315625074946883]",False,0.6985522688497916,0.3175704395325982,0.8144981013501063,0.15907586717415145,0.37349762320956836,0.796527954386927,0.5782645234277022,0.8639914018952497,0.7980189031076739,0.14527884845325456,0.5345515467381816,0.7208286175232903,0.669725156777718,0.6486528767076598,0.2095249055969639,0.7314817245546246,0.32974862897304336,0.13368473065448838,0.6147894980779633,0.4536199643332792,0.12566908278391087,0.49545464815840856,0.5144374918819818,0.9701768184200845,0.09021976733339288,0.316332388567947,1.2,0,0,0,0,0,1,1.0019664983486378,0.20492079327374318,0.6724049451982883,0.49874932812712436,0.9158992396490537,1.2,0,0,0,0,0,1,0.3265819041209915,0.31938608573078003,0.9913493998149966,0.7345742922231192,0.40110398979356676,0.4193219316207703,0.7527336949925756,0.1,0.36984975362869427,0.3632442676724865,0.8661957188102648,0.4225360417865902,0.8322241116542775,0.08882595273913291,0.662339616605725,0.15379617235458046,0.8850132107596398,0.01,0.8182080581718298,0.28397191007004674,0.7899707052403568,0.42653344532720894,0.3545055723596323,0.1662227861629699,0.39291584601211,0.1707800116760599,1,0.4619240517995124,0.5289527999122587,0.3658420148449078,0.9271971460767393,0.6451265097855532,1.2,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.0036078693654267627,0,0.14441563299418125,0,0,Gita Sparrow,Kathy Mathews,Lowe Forbes,,Isaac Johnson,,0.22853028435482658,0.10484012252757943,0.3103438577779405,0,0.8971483749076354,0,,OVERPERFORMING;LATE_TO_PARTY,ALTERNATE,EXTRA_STRIKE,TRIPLE_THREAT,,SIPHON,,93e2510e-faf2-4c06-8e92-3ccf42b9e1dd,60e78a6c-fe49-4283-8293-735e9fa7e3e9,56,Weather.BLACK_HOLE,1,0,1,12,80,True,0,0,1,16,15,1,False,0.4736910656538349,0.44627210988092125,,0
Advance,"[0.9763772865275913, 0.1401510211941912]",True,0.21733806540247672,0.9399564633291259,0.8641229766478953,0.4051229577159061,0.4672150255101893,0.6623179649734201,0.8583180889963477,0.13461113515081938,0.35579544347769243,0.7617968278222328,0.25765288603223285,0.7484945873482929,0.9192256409694635,0.6912616389400184,0.8718103004467699,0.17136368762550014,0.5376747023746834,0.8804770896781675,0.8793074981592851,0.8015160767369762,0.12862029923902013,0.5420871073677683,0.32139912995658504,0.9780191127200543,0.1360454491875409,0.12045846635740522,1,0,0,0,0,0,1,0.9119473464256036,0.09643599009055548,0.06706536995414629,0.12009061811845878,0.8800577848280257,1,0,0,0,0,0,1,1.168716453966575,0.6459404918726056,1.1621480073095711,0.7930612567870181,1.056123563827368,0.001,1.2526831502867495,0.05016198848066051,0.591783641219835,0.8710566659928699,0.8093703515060102,1.0818176062977856,1.2963737943821503,1.0785212758270806,1.0928885517921263,0.715372638370732,0.6805577878927029,1.0004167911270074,0.42381142372654046,0.7789502888082445,0.8901705813583899,0.9953181677705973,0.7428480240310821,1.3938530158547808,0.5408376821510407,0.45721224080014566,1,0.9724257438181221,0.3260055517193623,0.1486816443106025,0.79568649173825,0.4257323152244352,1,0.7946209333683352,0.5856417592675257,0.6687171499155442,0.45452654273712456,0.414432420932338,0.5834216978971641,0.5091834245281331,0.5031709071895855,0.4782296658569385,0.003925889236605533,0,0.24044023511707557,0,0,Ayanna Dumpington,James Mora,Kurt Crueller,,Silvaire Semiquaver,,0.12045846635740522,-0.5107427945620349,-0.3087758693427913,0,0.33996400772583596,0,,PARTY_TIME,,O_NO,,,,,c26411ec-54fd-494a-832a-c4ad22995297,7f09624b-b3cf-4493-b768-adf090bebf21,65,Weather.BLOODDRAIN,0,0,1,12,80,False,0,1,1,15,14,1,True,0.15519616327780605,0.5079583259810332,,0
Advance,"[0.7396798205586834, 0.17149006878783868]",True,0.4727917666846707,0.5018007398105797,0.760434193739627,0.1459989848916785,0.7180434600697801,0.8961284429173463,0.4805662837636203,0.1,0.36438834368640494,0.12287233845839204,0.14731792379414727,0.07651282409130554,0.5406771047256826,0.3849624842538797,0.4146745190441065,0.5821390704166881,0.33219578379328984,1.0966100091766435,0.6445044526117817,0.27020942237692586,0.5826177920905622,0.42811141435094463,0.0737267998206081,0.6344370840197506,0.8537126873104568,0.5432417857251454,1,0,0,0,0,0,1,0.5141667361690276,0.7298996455425452,0.28925960577749155,0.8837808089553458,0.7565826176244504,1,0,0,0,0,0,1,0.19173624793442282,0.7347690005296308,0.3802433113455691,0.7635736350955518,0.2875910575289188,0.18176965635869896,0.17790269864352437,0.03670840755304505,0.4080724783746813,0.22643658832959038,1.063298500106534,0.26169336749261285,0.4706219255635399,0.2844278011946163,0.1588715679743994,0.7588353615781595,0.5560859119535885,0.5113734363947915,0.1477756154713739,0.230756824993631,0.8151214424690651,0.9828474019710336,0.5814119488128913,0.19404737074560915,1.04919917644488,0.7858198266179658,1.2,0.01,0.57151504551916,0.5445884510285783,0.7711597916390367,0.38968839839012515,1,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.0036078693654267627,0,0.7090735884033006,0,0,Stephens Lightner,Agan Harrison,Socks Maybe,,Steph Weeks,,-0.2546391257452595,0.7858198266179658,0.07876589247052844,0,0.07561828267648438,0,,EXTRA_STRIKE,,OVERPERFORMING;LATE_TO_PARTY,,,FIRE_EATER,,93e2510e-faf2-4c06-8e92-3ccf42b9e1dd,60e78a6c-fe49-4283-8293-735e9fa7e3e9,72,Weather.BLACK_HOLE,0,0,1,12,80,False,0,0,1,15,16,1,True,0.17645303752577912,0.5299697456024792,,0
Stay,"[0.17606283094421404, 0.8733506384819352]",False,1.2284973618565782,0.554423143609101,0.8875859287621417,1.21979806795042,0.8445186275821823,0.5615678719384499,0.746042461562947,0.2,0.9591432533059159,0.2508588799672564,0.9930498596218648,0.4507202510855136,0.7717668992812586,0.5491696745439952,0.9959764826781085,1.1724663903854569,0.5878847424750009,1.0913013549685242,0.7308211213547703,1.1128119372118075,1.0769321359966848,0.6729734738069785,0.35493108363478265,0.5066872535586587,0.7155318584625154,0.3840100485654358,1,0,0,0,0,0,1,1.0783354165282721,0.3131323678650222,0.34849719884103086,0.4905682973720833,0.33052013682776726,1,0,0,0,0,0,1,0.9346116972121381,0.543218725688323,0.4349733641105038,0.48660975410582236,1.1162934823750443,0.2118678860580312,0.7434302629950018,0.001,0.939847438559315,0.42764577634760936,1.072799384782331,1.074808663874692,0.5376668286818241,0.7188569746968584,0.8273552127359364,0.43973609628849675,0.8499501743238709,0.9598431713681435,0.9139490724269201,1.0531022144785511,1.0354469949617098,0.5484112123507876,0.689744453016266,0.7242272291573059,0.45830279108240357,1.0226387285206662,1,0.7256352891079016,0.4755327939800482,0.21715042105528481,0.7160827501860478,0.9505532596052115,1,0.6050124001035256,0.4519595330300567,0.6140862738162287,0.4253079342393487,0.4712119725231586,0.4962028180294879,0.5101363245618917,0.4382990376095283,0.5039366548531963,0.003902551012597609,0,0.25978652050730067,0,0,Basilio Mason,Rigby Friedrich,Gita Biscuits,,Rat Mason,,-0.6823766130880556,-0.08806741118163491,0.06782229109075866,0,1.0929434565839165,0,,,,UNDERSEA;PARTY_TIME,,,,,ec7ace57-a4e8-46dc-a131-70bc87619d65,36b94380-39a6-4e32-b525-3e888215798a,176,Weather.SUN_2,1,1,0,12,80,False,1,1,5,9,14,1,True,0.2336471666060942,0.6634671633892145,,0
Advance,"[0.39393512603930203, 0.8542883844892446]",True,0.6464053392635064,0.23692069719450387,0.9033240560557146,0.6051166662457799,0.14748099489922722,0.09000000000000002,0.9839850983983048,0.1,0.19959472503533285,0.01,0.6564139774138055,0.01,0.5645366065607887,0.6017521131497824,0.5464303471384013,0.04517098968049342,0.03,0.07618562950276202,0.4841286286791315,0.40293916937141994,0.5828853419964191,0.11,0.11,0.5234683016231814,0.6097617160304536,0.21738159854487837,1,0,0,0,0,0,1,0.448397260199613,0.35091577860846523,0.7706842355388779,1.1334861460422334,1.1783240561526909,1,0,0,0,0,0,1,0.5721791362334225,0.3032817146189436,0.8209037667557724,0.8697922702556543,0.7478660250973166,0.22519090928833657,0.49775120250494836,0.017983273752862503,0.948446392838975,0.8437548758700462,0.5419559302172817,0.4137977302130164,0.3380438075603795,0.61817168508154,0.6569649829201502,0.889650719899351,0.508447576259949,0.6368840345949706,1.0614155734816777,0.24855297365893414,0.7872035948370012,0.22007230015758553,0.94530474051945,0.22777843808378298,0.9992868903722874,0.6491824055622206,1,1.0318102388965356,0.8294788330462576,0.677691247685386,0.2141585655791451,0.19348835910807846,1,0.5139228432442815,0.27189547030055367,0.4362123214338329,0.41757810135105855,0.451727082953307,0.4440929302184828,0.5754171346258228,0.7546555506397025,0.5901708796528956,0.00515487653032766,0,0.9227884366317871,0,0,Igneus Delacruz,Sixpack Santiago,Jasmine Washington,,Sigmund Castillo,,-0.40297588738662227,-0.5871695663886636,0.4583169169352331,0,0.14738301950815663,0,ALTERNATE,BASE_INSTINCTS,,LIFE_OF_PARTY;ELECTRIC,ALTERNATE,,,,21960880-7b8e-40d9-8f74-9775d72eaa9f,a0851e18-d5d7-4749-b3c5-c6023fe1cc61,195,Weather.BLACK_HOLE,1,1,1,12,80,True,6,3,5,13,14,1,True,0.19373496031078363,0.5809515128332107,,0
Advance,"[0.12586519363159354, 0.6586259615874641]",True,0.39467082641688167,0.8562249542261764,0.6117032103202278,0.10596467404895948,0.41364510821184064,0.8398355712015892,0.25056370912098913,0.7769354729332862,0.6227755513700952,0.12401780325673362,0.05590588535062557,0.0460480832048904,0.35840995187089053,0.23583643713005564,0.37157284324609385,0.6596487981673347,0.07605264742827655,0.2727224819681162,0.5814578155044938,0.3814753099091408,0.6311193585369885,0.20455374088091682,0.909944274871108,0.37303704200994403,0.24870169836802192,0.21921702015464128,1.0404040404040404,0,0,0,0,0,1,1.3510253267718573,0.9412265507022154,1.0812859372743904,1.1413289481648086,0.6539080460521416,1.0404040404040404,0,0,0,0,0,1,0.6873323313562952,0.591140664877926,0.1520827449557457,0.7863346433563672,0.19163604023406136,0.30628570036179115,0.7269859653632087,0.3133072190208612,0.15964252964002099,0.26908998249591287,1.1043181786929668,0.851911265154495,0.14810598367338645,0.6838497261848574,0.8555913114338183,0.6608642068246979,0.709775881010405,0.33931431010519486,0.16860814557574622,0.12746379143654352,0.6094164458099376,0.9473538276906065,0.1682141840850955,0.7689794612006637,0.04955333860947353,0.41092064017724983,1,0.40294994794869304,0.8991770809560811,0.7742259298114453,0.7969416163667626,0.1931495114015837,1.0404040404040404,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.007079479535172957,0,0.049560423914898566,0,0,Zesty Yaboi,Ephraim Ladd,Augusta Chadwell,,Castillo Turner,,0.21921702015464128,0.31147316785177137,-0.4622766439751294,0,-0.37113103990662033,0,,GROWTH,,BOTTOM_DWELLER;PARTY_TIME,,,,,3a4f443e-7dc2-4fd6-bbae-8f5d4cc0b6f5,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,234,Weather.FEEDBACK,3,1,1,12,80,False,1,0,5,16,14,1,True,0.19372091491502563,0.3910410612248387,,0
Advance,"[0.5884925713858808, 0.3432312910489479]",True,0.8406632708671484,0.5319242929975931,0.8163181055198181,0.6600066569066216,0.8856948764529745,0.6378993222622642,0.23860649985496474,0.058177384872339755,0.13735387167244478,0.34422017282054723,0.29402659145850363,0.6957713588684994,0.9465997547905464,0.48349858766641013,0.9956283559488711,0.46364001746578065,0.9871989846365997,0.680869923840165,0.8906220730800448,0.8509601161463659,0.5422772188075313,0.5478971393666532,0.7323255498624183,0.6803336543997551,0.9951836440509134,0.9883217274959282,1,0,0,0,0,0,1,0.8500538991587934,0.9458261676688721,0.8308572189984347,0.5211360668642275,0.2599509727964947,1,0,0,0,0,0,1,0.6344610504016288,0.1290259722040053,0.8085336103181973,0.9334547788237844,0.13531105043381714,0.01,0.07779435122805617,0.1,0.5304694915420104,0.5103112709719361,1.1905684149827884,0.31852256510945576,0.33566264159768966,1.039431335208106,0.15217459938654648,1.004381386755034,0.8769520940039732,0.3660668048413352,0.17545272041627108,0.5308878096203613,0.7145022629367268,0.6915592632012106,0.3865073432408386,0.7025298182385133,0.33838804525950206,0.01061729946422707,1.01,0.01,0.6566640391524063,0.6424090023839346,0.461484806214552,0.01,1,0.4107468323095642,0.3753665765840052,0.41336959149340474,0.5149002539789903,0.5239131142287455,0.5819348100602006,0.5606394616667802,0.7370254366197266,0.4894158877197605,0.00122036149116574,0,0.46261501948494566,0,0,Kichiro Guerra,Montgomery Bullock,Bates Bentley,,Helga Burton,,-0.224116692169484,-0.25113670907857044,0.33407501012436247,0,-0.04926485741115801,0,ALTERNATE,LOVE;EXTRA_STRIKE;BASE_DEALING,FRIEND_OF_CROWS;WILD,SINKING_SHIP,,,,,65d040ce-2863-4a95-81da-ebdcac952040,e7431679-a45e-408f-92a8-a4db422c4925,240,Weather.FEEDBACK,0,0,1,12,80,True,4,1,6,16,13,1,True,0.23065524159374595,0.5533564819561126,,0
Advance,"[0.6063948890944222, 0.27971437060260107]",True,0.3293489619763687,0.1725592151735495,1.0435943982555935,0.6808846671302383,0.996710423683368,0.32243394398188113,0.5464993837294697,0.1,0.8618664329231356,0.7330486602526034,0.6780335654511642,0.9748330152273399,0.7804539459157209,0.7348447453035365,0.6284189785597635,0.10462853084890093,0.894233357419492,0.444972537065418,0.9708466509285915,0.7312262851469572,1.0280867952952004,0.2776737404295079,0.5074467417165766,0.381529922690773,0.14939610019422034,0.8099084304143704,1.2,0,0,0,0,0,1,0.7492756167324958,0.9568496031887799,0.9986663474141589,0.45050154664681025,0.24125153667710555,1.2,0,0,0,0,0,1,0.3265819041209915,0.31938608573078003,0.9913493998149966,0.7345742922231192,0.40110398979356676,0.4193219316207703,0.7527336949925756,0.1,0.36984975362869427,0.3632442676724865,0.8661957188102648,0.4225360417865902,0.8322241116542775,0.08882595273913291,0.662339616605725,0.15379617235458046,0.8850132107596398,0.01,0.8182080581718298,0.28397191007004674,0.7899707052403568,0.42653344532720894,0.3545055723596323,0.1662227861629699,0.39291584601211,0.1707800116760599,1,0.4619240517995124,0.5289527999122587,0.3658420148449078,0.9271971460767393,0.6451265097855532,1.2,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.0036078693654267627,0,0.36059300582718,0,0,Lou Roseheart,Kathy Mathews,Lowe Forbes,,Baby Triumphant,,0.6976911175758604,0.10484012252757943,0.3103438577779405,0,-0.3898764583864757,0,TRIPLE_THREAT,OVERPERFORMING;LATE_TO_PARTY,ALTERNATE,EXTRA_STRIKE,TRIPLE_THREAT,,REVERBERATING,,93e2510e-faf2-4c06-8e92-3ccf42b9e1dd,60e78a6c-fe49-4283-8293-735e9fa7e3e9,288,Weather.BLACK_HOLE,0,0,0,12,80,True,0,2,8,16,15,1,True,0.25061735499768756,0.5210576459377771,,0
Stay,"[0.22515586054316472, 0.9838107128444087]",False,0.7536715920818513,0.6888008268552313,0.5237063906006141,0.20847893618360724,0.07766872597987896,0.46896373033450733,0.6849999691666375,0.1,0.3177741780587592,0.5291487424170928,0.21107122064193526,0.8065470207578321,0.01,0.4482072005100558,0.9616688761224026,0.41622108945969605,0.6732047932250018,0.33023923654578335,0.3960984087240962,0.1985117290782997,0.27518229864564325,0.11034040121857275,0.14210984819198608,0.9344423319354663,0.28545395980628685,0.02002247909817023,1,0,0,0,0,0,1,0.5260952901849728,1.0404819998905959,0.8605060563440206,0.7076155896840124,0.6171905088402845,1,0,0,0,0,0,1,0.9630908245283304,1.0709716515911145,1.138593859368215,0.5438777203224734,0.47332833332377444,0.4812527497199241,0.9529103417974436,0.001,1.0120383715700951,0.5084396792426289,0.7055989662944574,0.4617535958814144,0.4134361681704809,0.3575091054626561,0.5892835826710705,0.49214923327987026,0.4685896420466828,1.0193785207489197,0.9457209464976024,0.49468980071295265,1.161657948430257,0.41347408749526526,1.0606306087810509,1.1026638928878139,0.08448813116604792,0.42244670780324783,1,0.31900002142920425,0.977518544399246,1.0413106605658968,0.3905241474307879,1.0775508392225381,1,0.6169163612062815,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.48619971701403675,0.5984538834873534,0.5802136293864534,0.5471392506253375,0,0,0.26596686670439373,0,0,Beasley Day,Greer Lott,Alston Cerveza,,Eduardo Woodman,,-0.09872828911072438,0.4031526493389187,0.27328851935845977,0,0.051837050417395225,0,,AFFINITY_FOR_CROWS,,EARLBIRDS,,,,,898af12f-133c-444e-8bee-60d23dcde847,f71fd587-d20c-461c-88a4-1634a2df3f43,140,Weather.SUN_2,0,0,0,12,81,True,0,0,4,12,15,1,True,0.27342687604544214,0.6555495178103549,,0
Advance,"[0.8231317620819498, 0.6709203551298035]",True,1.4733363774406216,1.5548269721148589,0.9710623854103536,0.9938762994312609,0.8551895116429447,0.42120722643484054,0.8190488425989005,0.1,0.41103640684928267,0.982413397375642,0.980478960093874,0.7383504455427701,0.7750654677302978,0.8490774179802056,0.4608644062751545,0.388166853855096,0.5756682711338208,0.8657173415848677,0.3782485834351689,0.9233496631095688,1.0030150934890951,0.5815023463013088,1.201841983738389,0.792124909913485,0.16242999732426483,0.43837851090687335,1,0,0,0,0,0,1,0.7862306769319527,1.146679898111216,0.6119399736169528,1.184293332913102,0.9823781057402401,1,0,0,0,0,0,1,0.8209616944855254,0.6568742250610018,0.9886917418997307,0.8446169025811765,0.48731697202457824,0.9589539922713963,0.06659183016378645,0.1,0.40385976220421416,0.5773640772822128,0.7145922159821823,0.40253111145998055,0.16865079925911064,0.8116209888923682,0.6035966356722191,0.5151750371160408,0.022880275657372717,0.18725106375210276,0.411975285487703,0.9568104738308599,0.9975399518073153,0.8123864453893698,0.8733518775137402,0.6303392228518333,0.5350042475458512,0.4027088739720155,1,0.27020942237692586,0.5826177920905622,0.42811141435094463,0.0737267998206081,0.6344370840197506,1,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.004332479981154026,0,0.2545666753240976,0,0,Fitzgerald Blackburn,Edric Tosser,Stephens Lightner,,Comfort Septemberish,,0.3252732456673404,0.038182713004703966,-0.6126407665427765,0,0.08759187606656779,0,,,ALTERNATE,EXTRA_STRIKE,,,,,5e41fe9e-78bc-4792-819b-8c7725226de3,60e78a6c-fe49-4283-8293-735e9fa7e3e9,176,Weather.FLOODING,0,1,0,12,81,True,1,5,4,14,15,1,True,0.04024274468789324,0.4957730709071533,,1
