event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,runner_on_first_base_thirst,runner_on_first_continuation,runner_on_first_ground_friction,runner_on_first_indulgence,runner_on_first_laserlikeness,runner_on_first_multiplier,runner_on_second_base_thirst,runner_on_second_continuation,runner_on_second_ground_friction,runner_on_second_indulgence,runner_on_second_laserlikeness,runner_on_second_multiplier,runner_on_third_base_thirst,runner_on_third_continuation,runner_on_third_ground_friction,runner_on_third_indulgence,runner_on_third_laserlikeness,runner_on_third_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,fielder_multiplier,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,runner_on_first_name,runner_on_second_name,runner_on_third_name,batter_vibes,pitcher_vibes,fielder_vibes,runner_on_first_vibes,runner_on_second_vibes,runner_on_third_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,runner_on_first_mods,runner_on_second_mods,runner_on_third_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll,batter_consecutive_hits
FC,0.9105536241197978,False,0.8563305061744094,0.7859216689315514,0.9917544733223559,0.9882101454782319,0.7366041657894368,0.3981064480786912,0.8576008961824069,0.1,0.6758048889256558,0.9412245084982097,0.5456168158066642,0.7162983459399863,0.3254211728293077,0.6773269674735916,0.7883480937436154,0.47514535092169086,0.37758854384661794,0.3756097753289325,0.2757659811235696,0.20815999575121305,0.6173054963707638,1.062151399367308,0.6576748352900097,0.8310043951008672,0.6160131099737187,1.081307184090076,1,0.9799884505681566,0.7219891354334833,0.19238201672655839,0.7298026187717732,0.9384346936463561,1,0,0,0,0,0,1,0,0,0,0,0,1,0.9710847467853875,0.8303404837480548,0.15267167889418404,0.975957998503774,0.8686501644569389,0.1691926802675377,0.14420175698845086,0.1,0.21542516065805412,0.9959093341990787,0.8096197330466277,0.6926478115953554,0.5412542157799979,1.1464223570676721,0.14639527434247784,0.6364754355245543,0.5608280726184629,0.7413113161348639,0.8144402397810001,0.5866766287775979,0.4306141441386536,1.0108032189362741,0.4373845934544762,0.7695336940847262,0.44012877789263183,0.6756409557264136,1,1.1124795768096964,0.12239425357812952,0.8554865533428943,0.9706380493945485,0.8597287144835161,1,0.45142904244452936,0.3007557131332617,0.4282526514388661,0.4416985467226418,0.4797401481748086,0.4697632871152416,0.40592456021305384,0.7347539006037183,0.4818877487202903,0.001320180771681399,0,0.060135562346968374,0,0,Reese Clark,Leach Ingram,Hewitt Best,Math Velazquez,,,-0.19168303645776857,0.6756409557264136,0.09780950059678648,-0.5702787840593988,0,0,FIRE_EATER,,,PARTY_TIME,REPEATING,ALTERNATE,,,35f718ff-b3ca-445e-8f6a-63fee511a14f,21ce1233-b2d6-4bd2-8d03-68a8915afdc5,52,Weather.BIRDS,1,0,1,12,80,True,0,1,1,14,14,1,True,0.26700394940573946,0.4282058805050421,,0
FC,0.947333344733768,False,0.7721017710888856,0.22716037993506713,0.4942331115357087,0.1571109085459117,0.2280023699862832,0.6243287405304929,0.19356011990281108,0.1,1.044637397681649,0.9176347769998041,0.746017747631595,0.23547239524912078,0.5361695063017288,0.19019276968811397,0.4339214091095732,0.5287032912957146,0.40305775789512943,0.1816989123782993,0.4891285431070775,0.3116197428840766,1.2832318863525158,0.6967850372114981,0.7649195459789101,0.3348542667093688,0.8115882671698996,1.021182753199892,1,1.1702072858143193,0.8704345917046888,1.538209473513306,1.1715545673259464,0.6491587849597291,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8567981213345571,0.8662858654903192,0.6341831559805118,0.8387762713051303,0.361913547812835,0.6756877572872797,0.11377942656913456,0.020129505378186335,0.8820158453708586,1.1231353485591422,0.23326600705487177,0.4845813854610886,0.6567276702823089,0.5715871935194095,0.6011139717610738,0.7031440009360853,0.4919292829192749,0.5000157945953626,0.13687732362652874,0.17345076690419337,0.9059469197129975,0.6323049573762101,1.0561821589399518,0.49984453402061896,0.7109746789920819,0.8533724807530937,1,0.177367827766035,0.12883972423558676,0.253760637345297,0.6113388444752897,0.15381763088407058,1,0.49157524045506606,0.3772856149547761,0.4730724599575604,0.5128089734710848,0.5824079093334408,0.44575448489553093,0.5637166235087328,0.6563113327867125,0.4149870306719358,0.005808473838631685,0,0.17755526884291628,0,0,Evelton McBlase II,Henry Marshallow,-od- Preston,Pedro Davids,,,-0.09911771657538648,-0.3198878890557866,-0.7297848925382159,-0.33436363042762157,0,0,ALTERNATE,CARCINIZATION;EXTRA_STRIKE,TRIPLE_THREAT,AFFINITY_FOR_CROWS,SCATTERED,FLINCH,,,ccea24f2-d9cd-4e1c-9086-dfe0559d02a0,a109bd65-bfd3-43c7-9eb8-70dddc4d8a29,53,Weather.COFFEE_3S,0,0,1,12,80,True,0,0,1,14,12,1,True,0.3469292193234803,0.5832195440982662,,0
DP,0.8526473799703944,False,0.8775167417710863,1.095578462823159,0.926193198406295,0.9355321098532062,1.0914225650490392,0.581954260366401,0.4456302933763755,0.001,0.5118007429762448,1.0536891530924335,1.1061522060826248,0.34958568412203395,0.7142334575564643,1.1990244310877074,0.21700491684776305,0.2719195439246896,0.882790336749364,0.11903587286963697,0.55136320599592,0.46942282560704307,0.8975456367760938,0.8837413654581895,0.18986790922146346,0.9608260022970633,0.3439608525396183,0.6506687960261273,1,0.6385264477606668,0.46715089109397334,0.4262656903101695,0.001,0.854854224721202,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0850578905934625,0.5623599751608019,0.45781942847378615,0.5700646342582579,0.6699427459335859,0.5844583545599619,0.45676489300554596,0.04416794726855082,0.44426144087843933,0.2750226021491341,1.1599022680283833,0.6417038640340926,0.43774463227124005,1.0583742103706277,1.0174446430578281,1.2088502855390797,0.4007491293833701,0.7049709734784234,1.0937724807402145,0.9397711007700018,0.931969502320316,0.5279443244452608,0.4295885886037539,0.6391292464076667,0.6718389101890525,0.8153000692366617,1,0.01,0.6680772748426522,0.01,0.6812581220654605,0.01,1,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.007079479535172957,0,0.14277931642831465,0,0,Pitching Machine,Dunn Keyes,Jacob Haynes,Cantus Hojo,,,-0.095303440398181,-0.1317568703573897,-0.29766278517195877,0.330774241068154,0,0,HONEY_ROASTED,BOTTOM_DWELLER;PARTY_TIME,ALTERNATE,GROWTH,,,,,3a4f443e-7dc2-4fd6-bbae-8f5d4cc0b6f5,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,65,Weather.FEEDBACK,0,0,1,12,80,True,1,0,1,14,16,1,True,0.39701521107132653,0.5360376552234843,,0
FC,0.4099530476001634,False,0.9798733398233802,1.117458061170792,0.42604728876154285,0.7142296488149749,1.0030317102815614,0.12772330146218278,0.8232263227745524,0.001,0.7890894210590049,1.111878837426581,0.8024682934597274,0.8669406641602337,0.8891542053531137,0.9635425387876203,0.37066507092922274,0.7555781648515332,1.1221214207846,0.9472037094904334,0.44678604077454037,0.2572309622753441,0.7743189736002682,0.6509970480678675,0.7276306923758304,0.3106041900919863,0.9224335434501654,0.2137133013809596,1,0.9965541410759006,0.1878487122202207,0.43324406770894874,0.15356770145467002,0.12551617517868185,1,0,0,0,0,0,1,0,0,0,0,0,1,0.6543610749489757,0.849371172987172,0.7784462711906405,0.5951327942926213,1.2972205899920277,0.001,0.5241506469020164,0.001,0.7619082444304024,0.7265388375102744,1.0517112803103612,0.5306861727719254,0.652107285654824,0.8748910467308729,0.7639579407416348,0.69216258288897,0.7906721143841265,0.9657898550612608,1.1317756566993251,0.5023832452208798,0.38930021200877285,0.56805146566022,0.8247123101512471,0.42736127007574654,0.28756718512942636,1.0628874947356106,1,1.2663175330909453,1.2418095892996697,1.2691460217039054,1.386813140839604,1.4643192298176093,1,0.734028825675743,0.5315151559526681,0.7678385756888914,0.46350321501464753,0.5127096626265168,0.528370617263836,0.5325150816744646,0.48330562996753273,0.5713775790775273,0.006894410211827221,0,0.10233705606181465,0,0,Blood Hamburger,Leach Herman,Cory Ross,Esme Ramsey,,,0.2137133013809596,0.7712330026478087,0.06573685026991848,0.5296538629627283,0,0,FLINCH,TRAVELING;EXTRA_STRIKE,ALTERNATE;FRIEND_OF_CROWS,,SIPHON,FLINCH;HAUNTED,,,43fff2f1-231b-459e-a258-14d15ae489f5,36ae955c-6264-4437-8669-3053f62992e5,99,Weather.ECLIPSE,0,1,1,12,80,False,0,2,2,15,15,1,True,0.5333135589817171,0.6706351876778206,,0
Out,0.29885268385923225,True,0.2344891966114361,0.37405243508731795,1.0051584414721575,0.4531743916603145,0.3118344963322367,0.887470615977278,0.9923914406638986,0.13446176165842494,0.7902225891597088,0.925179809807479,0.9374860024081001,0.18130435106645382,0.42799169877365106,0.31984455769417025,0.1281327645950177,0.9129873842571834,0.9553776898286731,1.036895557948079,0.5276759704198825,0.4766433173558957,0.7817090751087359,0.9053289660887299,0.8572728108436454,0.6805546689126587,0.7745780003506533,0.4393494482841986,1,0.6542524540379794,0.2115470921597268,0.761495205248752,0.8895450905617872,0.9129093408204988,1,0,0,0,0,0,1,0,0,0,0,0,1,0.28908710736076415,1.0347857013993076,0.5718665447788809,0.575665660696574,0.8933857810721758,0.2703595680814873,1.300367488725255,0.001,0.6872782775481843,0.6876729158716173,0.6800853928514906,0.9146397090995195,0.2919358857919582,0.7089490206919187,0.743711408353202,0.4119461522673441,0.6788418491599438,0.7758291445598673,0.4818939610012619,1.205897091049861,0.7306442070913978,0.5583661967224587,0.7107422165423034,1.2514251603294262,0.3970858981737535,0.9741827477000938,1,0.8015160767369762,0.12862029923902013,0.5420871073677683,0.32139912995658504,0.9780191127200543,1,0.7946209333683352,0.5856417592675257,0.6687171499155442,0.45452654273712456,0.414432420932338,0.5834216978971641,0.5091834245281331,0.5031709071895855,0.4782296658569385,0.003925889236605533,0,0.9260791733551437,0,0,Bevan Wise,Gerund Pantheocide,Ayanna Dumpington,Francisco Preston,,,0.4393494482841986,0.8137747878606435,0.12045846635740522,0.2643123244408582,0,0,,O_NO,,PARTY_TIME,,,,,c26411ec-54fd-494a-832a-c4ad22995297,7f09624b-b3cf-4493-b768-adf090bebf21,100,Weather.BLOODDRAIN,0,0,0,12,80,True,0,1,3,14,15,1,True,0.5052164492060949,0.5727610018740859,,0
FC,0.9831989464444393,False,1.104404926260705,1.0366214396711297,0.6167150069489128,0.7670025328530743,0.3756153800690274,0.01,0.5314346896085285,0.05626529125166313,0.8674224067849045,0.612528428374113,0.3156745621731667,0.8969785591867517,0.7713934436768186,0.34556012381032497,0.6695174342457947,0.6777250728208174,0.6070985328105211,0.3933137474937951,0.5761772716556391,0.2612575380423574,0.14566396029784387,0.2912983046274075,0.08124610084337767,0.07038301408528146,0.36269468580325337,0.9234968551736129,1.0404040404040404,0.5231193883369001,0.7858112330686023,0.5011737254793298,0.45069193947609204,0.9257858512588029,1.0404040404040404,0.5507256890368086,0.626426751468702,0.19185114656026542,0.1847552832234965,0.4283897606930526,1.0404040404040404,0,0,0,0,0,1,0.6873323313562952,0.591140664877926,0.1520827449557457,0.7863346433563672,0.19163604023406136,0.30628570036179115,0.7269859653632087,0.3133072190208612,0.15964252964002099,0.26908998249591287,1.1043181786929668,0.851911265154495,0.14810598367338645,0.6838497261848574,0.8555913114338183,0.6608642068246979,0.709775881010405,0.33931431010519486,0.16860814557574622,0.12746379143654352,0.6094164458099376,0.9473538276906065,0.1682141840850955,0.7689794612006637,0.04955333860947353,0.41092064017724983,1,1.0157003393818382,0.7844769597018733,0.15128657923008076,0.45424742369123056,0.08106826236217697,1.0404040404040404,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.007079479535172957,0,0.33568080208640505,0,0,Nic Winkler,Ephraim Ladd,Muse Scantron,Margarito Nava,Inez Owens,,0.1044095732306044,0.31147316785177137,0.34745145927869575,0.3691129411661586,0.20015280032861427,0,,GROWTH,,BOTTOM_DWELLER;PARTY_TIME,,FIRE_EATER,ALTERNATE,,3a4f443e-7dc2-4fd6-bbae-8f5d4cc0b6f5,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,110,Weather.FEEDBACK,1,0,0,12,80,False,1,0,2,16,14,2,True,0.3589901420183992,0.38708443294331374,,0
Out,0.060842969631070165,True,0.35529329143838984,0.8866618648488377,0.3881496060696167,0.1950712658591266,0.3604972018849747,0.7992976043613088,0.3209325771320751,0.176255846387,0.7246178633383022,0.36489235166065187,1.03249292730883,0.5155840509848033,0.16969282946875225,0.5353085380340092,0.6385264477606668,0.46715089109397334,0.4262656903101695,0.001,0.854854224721202,0.8923012821918077,0.6623167482809769,0.9322039713853241,1.0134847552412418,0.4531664655977931,0.7253855405492446,0.330774241068154,1,0.08774329783390784,0.9979271560010252,0.3845989771244042,0.7541249364897795,1.0031657873189948,1,0.3792801080307308,0.21802422143538974,1.0413174115506052,0.46077277060927674,0.5608258410941607,1,0,0,0,0,0,1,1.0850578905934625,0.5623599751608019,0.45781942847378615,0.5700646342582579,0.6699427459335859,0.5844583545599619,0.45676489300554596,0.04416794726855082,0.44426144087843933,0.2750226021491341,1.1599022680283833,0.6417038640340926,0.43774463227124005,1.0583742103706277,1.0174446430578281,1.2088502855390797,0.4007491293833701,0.7049709734784234,1.0937724807402145,0.9397711007700018,0.931969502320316,0.5279443244452608,0.4295885886037539,0.6391292464076667,0.6718389101890525,0.8153000692366617,1,0.6213753703764386,0.7364626359359063,0.7582760257073042,1.0471211715262942,0.6403818783114601,1,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.007079479535172957,0,0.698092614739771,0,0,Cantus Hojo,Dunn Keyes,Castillo Turner,Scratch Deleuze,Lenny Crumb,,0.330774241068154,-0.1317568703573897,-0.37113103990662033,0.5940171605527136,-0.3997305364614476,0,,BOTTOM_DWELLER;PARTY_TIME,ALTERNATE,GROWTH,,,,,3a4f443e-7dc2-4fd6-bbae-8f5d4cc0b6f5,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,143,Weather.FEEDBACK,3,2,1,12,80,True,1,0,3,14,16,2,True,0.29163948316806576,0.46294511890707785,,0
FC,0.27263245190360097,False,1.0373010082504657,1.0321731475569402,0.7442030409700068,0.19050595161366057,0.6088905333855833,0.703871858851337,0.9667035147880852,0.1,0.060000000000000005,0.8735163473239724,0.9762856531747925,0.9253409934115802,0.7826140986691406,0.060000000000000005,0.13184027414733923,0.8767260835374231,0.7324106328213644,0.5584378046837029,0.16854679051142307,0.293785133661039,0.07938947913221947,0.10197356318462311,0.11777006372639262,0.19754932398044608,0.24853449628553115,0.8182287800242906,1,0.4575293895271839,0.920975525282169,0.9635061277759058,0.8213683139336194,0.7096724426217023,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0846875103318623,0.5470946884404175,0.34566920073479834,1.1261174941604795,0.8768466969092947,0.01,0.8415867461989165,0.01,1.3414118493677978,0.8799564409454538,1.1716386402227115,0.8703914432369291,0.7896460027842918,0.9736383108914901,0.8213935837891735,1.2192452498995814,0.6878522370906888,1.0523723263824503,0.6601995335393881,0.7987283700911394,0.33931942060879705,0.6360929090940246,0.9536218618437295,1.3056949924180612,0.7309676123161581,0.8959608390325469,1,0.01,0.01,0.5224831463650459,0.198413767258605,0.01,1,0.5972893620004125,0.24014406844576902,0.5888660772611276,0.4066192189800766,0.5052602094603736,0.5441491334505063,0.5180715700940073,0.7884468986774216,0.5757445655057053,0.003471680726487169,0,0.0013004206105626803,0,0,Randy Castillo,Burke Gonzales,Summers Preston,Zion Aliciakeyes,,,0.8182287800242906,-0.14011843895652165,0.056690635030945874,1.0201273637843034,0,0,,FIREPROOF;SEALANT;AMBUSH,ALTERNATE;TRIPLE_THREAT,,,SWIM_BLADDER,,,d70f0e1b-30f5-47a4-a59f-e6818d8c78c1,929fc650-948a-4736-b7a2-bb7b75902e6e,145,Weather.FLOODING,0,1,0,12,80,False,0,4,4,12,15,1,True,0.4332180543582398,0.7556495301078273,,0
FC,0.8333856197715099,False,0.45060316139325773,0.03994732125036338,0.4696854732959055,0.16570792335729756,0.48910562572609595,0.2762584917784463,0.29481091314700913,0.1,0.09264642289928182,0.18043075456449587,0.7947467504773271,0.38354876369215396,0.4650619277060679,0.9004120769666419,0.4440527280370401,0.37774295879032227,0.11349541424847542,0.2854871995082571,0.9008109441133505,0.5985180925268603,0.3772654432705207,0.5875419914616782,0.13401645390589545,0.07735117148481607,0.5546398704474358,0.25395246428507035,1.2,0.2095249055969639,0.7314817245546246,0.32974862897304336,0.13368473065448838,0.6147894980779633,1.2,0,0,0,0,0,1,0,0,0,0,0,1,0.3265819041209915,0.31938608573078003,0.9913493998149966,0.7345742922231192,0.40110398979356676,0.4193219316207703,0.7527336949925756,0.1,0.36984975362869427,0.3632442676724865,0.8661957188102648,0.4225360417865902,0.8322241116542775,0.08882595273913291,0.662339616605725,0.15379617235458046,0.8850132107596398,0.01,0.8182080581718298,0.28397191007004674,0.7899707052403568,0.42653344532720894,0.3545055723596323,0.1662227861629699,0.39291584601211,0.1707800116760599,1,0.7102510621025225,0.3809855096706213,0.7473995099494762,0.5845321941689525,0.9403004981710729,1.2,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.0036078693654267627,0,0.9550260528617323,0,0,Mags Banananana,Kathy Mathews,Collins Melon,Gita Sparrow,,,-0.20788104675442107,0.10484012252757943,-0.07348105297035107,0.22853028435482658,0,0,,OVERPERFORMING;LATE_TO_PARTY,ALTERNATE,EXTRA_STRIKE,ALTERNATE,,,,93e2510e-faf2-4c06-8e92-3ccf42b9e1dd,60e78a6c-fe49-4283-8293-735e9fa7e3e9,150,Weather.BLACK_HOLE,0,0,0,12,80,True,0,2,4,16,15,1,True,0.11191916375631639,0.4601450701829045,,0
Out,0.004120470915576879,True,0.24059162787866306,0.7384537062996875,0.34371979083114773,0.6702023124540337,0.9961311432536774,0.41818048129238866,1.0385835709598092,0.1,0.4101150093883937,0.6149709272950787,0.7967439101486888,0.22355490656195182,0.6815558972947524,1.010492505247112,0.2647271733059932,0.7460225504937954,0.768004225991114,0.663925221431516,0.11099120053287587,0.4991938005962541,0.7546484948616266,0.3414371619343746,0.7229439403861043,0.8914600470109563,0.8988482027631604,0.7234934128681174,1.2,0.4440527280370401,0.37774295879032227,0.11349541424847542,0.2854871995082571,0.9008109441133505,1.2,0,0,0,0,0,1,0,0,0,0,0,1,0.3265819041209915,0.31938608573078003,0.9913493998149966,0.7345742922231192,0.40110398979356676,0.4193219316207703,0.7527336949925756,0.1,0.36984975362869427,0.3632442676724865,0.8661957188102648,0.4225360417865902,0.8322241116542775,0.08882595273913291,0.662339616605725,0.15379617235458046,0.8850132107596398,0.01,0.8182080581718298,0.28397191007004674,0.7899707052403568,0.42653344532720894,0.3545055723596323,0.1662227861629699,0.39291584601211,0.1707800116760599,1,0.4619240517995124,0.5289527999122587,0.3658420148449078,0.9271971460767393,0.6451265097855532,1.2,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.0036078693654267627,0,0.814417178008539,0,0,Peanutiel Duffy,Kathy Mathews,Lowe Forbes,Mags Banananana,,,0.7234934128681174,0.10484012252757943,0.3103438577779405,-0.20788104675442107,0,0,HONEY_ROASTED,OVERPERFORMING;LATE_TO_PARTY,ALTERNATE,EXTRA_STRIKE,TRIPLE_THREAT,,,,93e2510e-faf2-4c06-8e92-3ccf42b9e1dd,60e78a6c-fe49-4283-8293-735e9fa7e3e9,154,Weather.BLACK_HOLE,1,1,1,12,80,True,0,2,4,16,15,1,True,0.34613740156172357,0.5209881322862143,,0
