event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,runner_on_first_base_thirst,runner_on_first_continuation,runner_on_first_ground_friction,runner_on_first_indulgence,runner_on_first_laserlikeness,runner_on_first_multiplier,runner_on_second_base_thirst,runner_on_second_continuation,runner_on_second_ground_friction,runner_on_second_indulgence,runner_on_second_laserlikeness,runner_on_second_multiplier,runner_on_third_base_thirst,runner_on_third_continuation,runner_on_third_ground_friction,runner_on_third_indulgence,runner_on_third_laserlikeness,runner_on_third_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,fielder_multiplier,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,runner_on_first_name,runner_on_second_name,runner_on_third_name,batter_vibes,pitcher_vibes,fielder_vibes,runner_on_first_vibes,runner_on_second_vibes,runner_on_third_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,runner_on_first_mods,runner_on_second_mods,runner_on_third_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll,batter_consecutive_hits
Advance,"[0.5889695761730105, 0.14689067160935454]",True,0.2523228279425986,0.27083420274782777,0.880315511116188,0.33762053619515897,0.808423460072037,0.4127704814268563,0.9912320834796704,0.1,0.3287310633640962,0.5533091658178925,0.6774481941698638,0.336055368854723,0.8754679786638584,0.795166622196249,0.6227970879015648,0.06862137066211468,0.01814270381461272,0.5492346831480165,0.6294140173888616,0.734772750040471,0.5117410918826149,0.2979733709963328,1.2933086845340285,0.8207413146596039,0.7694240369628592,0.9052730601323349,1.01,0,0,0,0,0,1,0,0,0,0,0,1,1.3254683231486117,0.659573816564957,0.8377892531929333,0.9251206939415059,0.9543653637608529,1.01,1.112164666697285,0.37173515442373034,0.8318208787717624,0.40284323838016,0.9518393432189363,0.21638897966597498,0.49806879439640617,0.001,0.32587283197304645,0.23202651895749699,0.24870751507483058,0.30043269960718205,0.23857444687011098,0.2068143840283795,0.810119652104028,0.34028629769387586,0.5919477469757083,1.1468783750800404,0.3382707133349004,1.0135088272168282,0.3239453922881924,1.0415076787164075,0.7935910279846949,0.9906167803764238,0.9107176334839626,1.1123451820400128,1,0.16906640089544256,0.8383721553848105,0.9858139762465901,0.2945289684910022,0.6385607813734688,1.01,0.4899933874380886,0.5502516277472869,0.5462831513898578,0.6960440705470523,0.5962457551826605,0.5751864596590106,0.7156870185188495,0.5626868198807364,0.5409028298425935,0.04946073227775798,0.46825139384746883,0.9484049485160786,0,0,Christian Combs,Alaynabella Hollywood,Sparks Beans,,,Alyssa Harrell,0.21332856111207288,1.0440387211863735,-0.45528510949441797,0,0,0.319163692373409,FIRE_EATER,SINKING_SHIP,,,,,,ALTERNATE,058ce662-1e23-4d7b-8a15-c8a08da368c8,cb94ac8b-003b-4d95-baf3-7c14b1c3fc29,101,Weather.BLACK_HOLE,1,0,0,13,52,True,0,2,3,13,17,1,True,0.4015646099045487,0.5429634540487109,,0
Advance,"[0.4399032015723108, 0.04981018642261237]",True,1.2593094698539085,1.1383965378033092,0.5376279455892786,0.9902878925285323,1.1764011605143947,0.306328316225548,1.2298351431014618,0.001,0.3043536965750927,0.6784513042443595,0.3465096329679718,0.4706456440205379,0.8369510830718048,1.0164568792530158,0.3672936602092609,0.9521487364939015,0.0327796447289124,0.8519680649130618,0.6337955406003984,0.7353529536069288,0.2951854198906845,0.32820397920832645,1.0423421538813835,1.0786706692905197,0.32762547788474816,0.9383021426684449,1.45,0,0,0,0,0,1,0,0,0,0,0,1,0.6272170441063764,0.9032836862590582,0.7592160742644225,0.8600346005555842,0.5541652257649426,1.45,0.5008464028487001,0.8321560570146389,0.42436432323753137,0.02518106278122967,0.9847927314137912,0.3453786901552993,0.1503839870895045,0.1,0.8510934832513897,0.4777364502319945,0.5517557593103859,0.3278484783026103,0.09419312075448039,0.22506960329465775,0.027515276958333557,0.5762407690354707,0.794436391616405,0.046227851506215556,0.7039199113062156,0.03491381782653513,0.6401629714340105,0.6065274742006694,0.8048607766092684,0.5708658431727858,0.9509063179128374,0.6520369695921371,1,0.8509601161463659,0.5422772188075313,0.5478971393666532,0.7323255498624183,0.6803336543997551,1.45,0.6169163612062815,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.48619971701403675,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.056297518651081256,0.946701699607831,0.41919508670970607,0,0,York Silk,King Roland,Ki-hir- Guerr-,,,Fish Summer,0.25306859523153125,-0.26349598152160814,-0.2241166921694801,0,0,0.6948915601733828,DOUBLE_PAYOUTS;HONEY_ROASTED;EGO1,HIGH_PRESSURE;OVERPERFORMING,,LOVE,ALTERNATE;SCATTERED,,,FIRE_EATER,7047fcc4-42e0-47fe-a27e-64dd5c5b8918,f71fd587-d20c-461c-88a4-1634a2df3f43,150,Weather.FLOODING,2,1,1,13,52,False,0,0,4,15,16,1,True,0.40945562375846056,0.7321414071833168,,0
Stay,"[0.6734057596669207, 0.7026631996498653]",False,1.0248857101992994,0.2413378372656934,0.150596191129225,0.40221514808442926,0.9164839639876792,0.7657851703513929,0.8590986486923495,0.09230447177004267,0.5239633445750348,0.8384592245834771,0.42067553510376077,0.10629423023928411,0.7552967194034956,0.1958035523418503,0.18596648889829634,0.13172804493169055,0.4482487922106794,0.15108352339037348,0.5224500957589268,0.7013091072218156,0.2548758306539927,0.5820698250970406,0.2000610589880438,0.3526384556680341,0.3202197430201299,0.6252598627420047,1,0,0,0,0,0,1,0,0,0,0,0,1,1.2692036288251758,0.6227879590976853,0.9323408239469086,0.8921887675143692,0.6702157579059194,1,0.6900384212989035,0.1002238423843568,0.5323788986170828,0.5426647178318091,0.8591877230753496,0.6355192663045623,0.8431866909329835,0.4897918996833006,0.1597076234942555,0.5497679735629315,0.9608371299480896,0.6048210475725467,0.4236878189595078,0.647274152105534,0.36033663540234573,0.26787258820675686,0.6135068137087912,1.0179803659635909,0.5989445476698425,0.7911562597123956,0.5956662063530547,0.45928784698155206,1.1062249394910835,0.2801619911319511,0.29135734982653605,0.2479501880108322,1,0.9529406476888331,0.7439942658232637,0.993633322560218,1.0857185820546067,0.5187741547056485,1,0.5053671963554746,0.5247785781278169,0.5981744694032705,0.5474000831124898,0.6819910875419015,0.263229502203971,0.5902250518696203,0.4617130261512937,0.4040771749168108,0.05117901999005416,0.09277890715300585,0.44225955805748396,0,0,Kaj Statter Jr.,Persephone Splotter,Cantus Hojo,,,Hahn Fox,0.15252005986093783,0.2479501880108322,-0.00885410025672792,0,0,-0.016149022442743743,SMOOTH,BASE_INSTINCTS,,BOTTOM_DWELLER,,,,,749a273e-9c33-4457-8ff8-59df65733901,8a84154e-80d7-47d5-8f56-295e9a9653d9,255,Weather.FLOODING,0,0,1,13,52,True,3,10,5,13,14,1,True,0.07603272571195396,0.4599816659372985,,0
Advance,"[0.9456971700585295, 0.16265477176380538]",True,0.1816590372751361,0.19201352560537632,0.7902456563933693,0.26157384539149486,0.05216067961569304,0.34308164364761096,0.25683576257497376,0.2872180825940982,0.8211712073629194,0.7935783008228299,0.0022871613225321497,0.32012734665665854,0.8722908232498254,0.31816504886713637,0.2782812409137341,0.6533361497910064,0.8780664476487678,0.390825049727485,0.6166238730793316,0.36792671121454146,0.9375202628900183,0.24831747456443454,0.38288061181122335,0.8116867031773198,0.5482026182450996,0.32882465817185436,1,0,0,0,0,0,1,0,0,0,0,0,1,0.9372531486685483,1.0997901694294325,1.1800588659596152,1.0423517790550385,0.8760942173815857,1,0.44554625052555763,0.16607709095174214,0.13094460493582313,0.7978999944079455,0.1578952094674255,0.794725248518914,0.7563104691730309,0.1,0.1043905958569131,0.23711762600065553,0.0775652148444361,0.6134741597512094,0.4377812957897993,0.6946163232746341,0.6617564365355828,0.9028741811275074,0.4336756677133944,0.5254743119685421,0.530856911712122,0.6209760546043455,0.8886637869231298,0.10752957466802934,0.310308518125747,0.674887798025146,0.24684711943131907,0.9659880057575818,1,0.2790291464933277,0.5177566373677991,0.8384248292200143,0.4194799761127079,0.7541964110194587,1,0.734028825675743,0.5315151559526681,0.7678385756888914,0.46350321501464753,0.5127096626265168,0.528370617263836,0.5325150816744646,0.48330562996753273,0.5713775790775273,0.05487835689527842,0.4878949785931823,0.73681932882692,0,0,Gallup Crueller,Simba Davis,Esme Ramsey,,,Conner Haley,-0.5482026182450996,0.5469637756922497,0.5649848403768142,0,0,0.3556555886976339,ALTERNATE,,,TRAVELING,FLINCH;HAUNTED,,,SPICY;ON_FIRE,0e3f1027-2422-4e4b-8557-eb1b56a9b7ca,36ae955c-6264-4437-8669-3053f62992e5,278,Weather.FLOODING,1,1,1,13,52,True,9,8,6,15,15,1,True,0.28212214273778335,0.3464621355209358,,0
Stay,"[0.12427688714616436, 0.7346836056029842]",False,0.5699278224904005,0.40544725317966845,1.257242913996822,0.9458310223125567,1.2915514225205806,0.11224418818573939,0.7385223784621828,0.001,1.1046577846111454,1.0017133903795337,0.8354254535597359,1.2155106416176407,1.0763129288838662,1.0199764832209781,0.7958287119411277,0.33562473251624947,1.0766401722807943,0.6628587788713172,1.1745562108051144,0.8953266934527417,1.3144748067813417,0.42851833719426013,0.7284165049113418,0.6238108928132119,0.14939610019422034,1.0623984557739397,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7492756167324958,0.9568496031887799,0.9986663474141589,0.45050154664681025,0.24125153667710555,1,0.19708431498808124,0.4147732577261085,0.7084443248645174,0.4688332793270331,0.77824455643274,0.7562637647100343,0.5184550507910484,0.1,0.3550701377246146,0.2737259906871121,0.5069064252990496,0.34575707317023396,0.9810707280716061,0.8528715140348234,0.09680788553052609,0.7270118020106977,0.09520671679744973,0.071582905172185,0.5066628812585059,0.3918577833041547,0.5140910621375643,0.9845891056760474,0.3314923483886065,0.8507573447411996,0.9041721558827303,0.1912732291294219,1,0.05,0.7080772748426523,0.05,0.7212581220654606,0.05,1,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0408307051498565,0.6840860458715963,0.37205628042882255,0,0,Lou Roseheart,Owen Picklestein,Jacob Haynes,,,Baby Triumphant,0.1535525387978206,-0.9041721558827303,-0.29766278517195643,0,0,-0.38987645838647383,TRIPLE_THREAT,,FRIEND_OF_CROWS,GROWTH,,,,REVERBERATING,e2479263-8b18-4ac8-b637-60ed1cd915cb,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,298,Weather.FLOODING,0,1,0,13,52,True,3,12,6,15,16,1,True,0.005687215894691677,0.513542547933765,,1
Stay,"[0.3774381954770538, 0.7675225903097282]",False,0.29810776178237086,0.12198364927971173,0.5519803829882819,0.8692301169069878,0.5421319359280059,0.9661031228637889,0.7718701976572027,0.1,0.5774253408029646,0.5924832217826768,0.5396041340966513,0.8213839654093651,0.23635884176217736,0.47657329811222215,0.3181952953977192,0.5495672368533477,0.20447811640588331,0.06062754589544639,0.6502519526167314,0.01,0.57151504551916,0.5445884510285783,0.7711597916390367,0.38968839839012515,0.21806131738251255,0.11808787864657488,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7492756167324958,0.9568496031887799,0.9986663474141589,0.45050154664681025,0.24125153667710555,1,0.19708431498808124,0.4147732577261085,0.7084443248645174,0.4688332793270331,0.77824455643274,0.7562637647100343,0.5184550507910484,0.1,0.3550701377246146,0.2737259906871121,0.5069064252990496,0.34575707317023396,0.9810707280716061,0.8528715140348234,0.09680788553052609,0.7270118020106977,0.09520671679744973,0.071582905172185,0.5066628812585059,0.3918577833041547,0.5140910621375643,0.9845891056760474,0.3314923483886065,0.8507573447411996,0.9041721558827303,0.1912732291294219,1,0.4214753099091408,0.6711193585369886,0.24455374088091683,0.949944274871108,0.413037042009944,1,0.6246505735512364,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0408307051498565,0.40362871395228694,0.8114707144250768,0,0,Socks Maybe,Owen Picklestein,Zesty Yaboi,,,Baby Triumphant,-0.02080087171064232,-0.9041721558827303,0.0575550788981348,0,0,-0.38987645838647383,,,FRIEND_OF_CROWS,GROWTH,,,,REVERBERATING,e2479263-8b18-4ac8-b637-60ed1cd915cb,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,303,Weather.FLOODING,2,1,1,13,52,True,3,12,6,15,16,1,True,0.18284650053160845,0.43860059927450745,,0
Stay,"[0.4099646314667289, 0.7600275258431233]",False,0.5102757318812389,0.6196156385717195,0.975891721301726,0.3335770869241936,0.3865844331475975,0.8563240140191541,0.7080399280595923,0.03812497092801988,1.0088277057655346,0.7630896299895074,0.6927093484621687,0.9097296999128236,0.45999495088063647,0.6185478287810852,0.9119473464256036,0.09643599009055548,0.06706536995414629,0.12009061811845878,0.8800577848280257,0.6676413371568044,0.3549933802882162,0.3078477378165537,0.3823343397966362,0.8178665108870551,0.0841127347604409,0.9047740069257867,1,0,0,0,0,0,1,0,0,0,0,0,1,0.9105537768653023,0.21761418054853499,0.9266520519206041,0.7945516192909339,0.8310791731921061,1,0.5714154613877616,0.31813908439586513,0.7295288044300388,0.662633426891446,0.6291402038371336,0.1573550579187444,0.09197506451092519,0.1,0.9633585586264877,0.3285816444790093,0.14788875944225308,0.7680424824131784,0.21048066119446782,0.9269518840350894,0.9178872562462659,0.35290109570323547,0.8261676655771077,0.9874824963024711,0.5770324521972447,0.7841615956739093,1.1097527978075086,1.0091229710875609,1.026567878084315,1.0922982182538459,0.2908032957986796,0.4631220741784371,1,0.2243988740681851,0.7509799652758239,0.3260113751939607,0.5447625565491213,0.29009858266660254,1,0.7946209333683352,0.5856417592675257,0.6687171499155442,0.45452654273712456,0.414432420932338,0.5834216978971641,0.5091834245281331,0.5031709071895855,0.4782296658569385,0.060794999536623616,0.6175087491430622,0.3027987248217716,0,0,Silvaire Semiquaver,Karato Bean,Malik Romayne,,,Engine Eberhardt,0.615729835410162,-0.24029987228900254,-0.11539960107204633,0,0,0.27414053629666557,,,,,,,,,74e74cc4-eb5d-4e74-9a64-ac71bb658790,7f09624b-b3cf-4493-b768-adf090bebf21,86,Weather.BLACK_HOLE,0,1,0,13,53,False,1,1.7,1,16,15,1,True,0.1947069481524113,0.6156129994919449,,1
Advance,"[0.027568866320392127, 0.07443601274347111]",True,0.7676879619008992,0.88923123303327,1.1012843597334974,1.126339819079937,0.5504386167931167,0.001,1.0479187768288007,0.001,1.0194794657357429,1.0259753023679132,0.3682818141888992,1.0346692664772996,0.5499507198672546,0.5248036911625428,0.780688835734565,0.8819366648900164,0.36373150104575175,0.5865034973221178,0.9069461860648763,0.3493684176238053,0.9854494509627565,0.39536473379763115,0.5285900530749541,0.3234223410173554,0.10996281464053581,1.0228799275917995,1.45,0,0,0,0,0,1,0,0,0,0,0,1,1.0379232279767994,0.5446320610277624,0.8486199948605994,0.5576528452436991,0.3147126931822127,1.45,1.4733363774406216,1.5548269721148589,0.9710623854103536,0.9938762994312609,0.8551895116429447,0.42120722643484054,0.8190488425989005,0.1,0.980478960093874,0.982413397375642,0.8490774179802056,0.7383504455427701,0.7750654677302978,0.41103640684928267,0.4608644062751545,0.388166853855096,0.5756682711338208,0.8657173415848677,0.3782485834351689,0.9233496631095688,1.0030150934890951,0.5815023463013088,1.201841983738389,0.792124909913485,0.16242999732426483,0.43837851090687335,1,0.9620753983799073,1.005924911487686,0.3681500852702917,0.6275252466989487,0.9081981005542292,1.45,0.6169163612062815,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.48619971701403675,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.05735878304459035,0.2674771055333933,0.6228415881908758,0,0,Commissioner Vapor,Fitz-erald Bl--kburn,Liquid Friend,,,Cedric Spliff,0.582499168989216,-0.15907473000733738,0.016563967583718003,0,0,-0.10824304672875759,PERK,HIGH_PRESSURE;OVERPERFORMING,SCATTERED,LOVE,HARD_BOILED,,,,653898e0-a4c4-472f-a3d4-bbfa777c2732,f71fd587-d20c-461c-88a4-1634a2df3f43,117,Weather.FLOODING,1,0,1,13,53,False,0,1,3,15,16,1,True,0.1815370602450117,0.6936480641606347,,1
Advance,"[0.2717382335336753, 0.20717802443308142]",True,0.4953847112386558,0.7107337311638144,0.8131851631510343,0.2487986305568641,0.8719159956979079,0.2583143648752686,1.0069156231866652,0.1,0.7511540393364149,0.3990869203875984,0.3843960733081231,0.032036467114850725,0.6996687325710418,0.6270610618582375,0.16624740953043268,0.20893524471658662,0.5451478868130377,0.7430311842327699,0.08557469835981754,0.18481956331281288,0.17159443782780512,0.9078753152467134,0.7771787959088232,0.25070021186744995,0.8744307873457238,0.7497203390089648,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7507696551211369,0.9040425826789981,1.2656845927188913,0.8049520980057822,1.2594553485693978,1,1.069261765463424,1.038949583647997,0.5373158087666401,0.5791618923836155,0.8958636587888511,0.6985067328149093,0.5681792123714942,0.8051879280950012,1.0989393732387978,0.717495385394908,0.6790413570638432,0.5991731604095787,0.2180803209015667,0.791191581527432,0.8818398459018848,0.7957994638357933,0.7099968594035473,0.32550715112795614,0.9629289776724812,0.4457995428230379,1.0452856624283997,1.0585698343775354,0.9771418232116733,0.5676590423623775,0.25376771835513123,0.1360858175285944,1,0.7307245462394534,0.7189652381885985,0.9965635312965413,0.9465101553071449,0.5601090799100159,1,0.7557407515388677,0.5983272352193407,0.62670850403186,0.49897353685967183,0.46633509856455546,0.4830007638090093,0.5742109647514907,0.4493541480949242,0.4793601464603855,0.08151465271650925,0.03199025142197942,0.8555543744229221,0,0,Tiana Wheeler,Uncle Plasma,Hatfield Suzuki,,,Chorby Short,0.27499315646745204,0.08521166930077045,0.5016957710545548,0,0,-0.6549922678691893,,O_NO,HARD_BOILED,BIRD_SEED,,,,,1d0da858-90a6-4600-a8b1-b4315d3929e3,2a1a52b3-9759-44aa-ba49-b1437396d895,126,Weather.FLOODING,1,2,1,13,53,False,2,0,3,14,16,1,True,0.6581008056303119,0.7373341519989696,,0
Advance,"[0.9757266857654994, 0.05249321656601236]",True,0.15589454141642897,0.02623191794652338,0.6487027369207952,0.6057384540828238,0.041163310369240064,0.27093523952850285,0.6345547950694989,0.1546269600523703,0.18961866085061765,0.11386661962403391,0.10597837906179454,0.831700258259898,0.6635043929892291,0.7407812157238568,0.11024706633011143,0.2987604011565101,0.6223145905165816,0.14889139608127094,0.7004697324717996,0.88286166940349,0.0723607629528488,0.4893166593612398,0.5550158302734394,0.4508158526328942,0.01,0.725282391123682,1,0,0,0,0,0,1,0,0,0,0,0,1,0.9010022914491376,0.6042986869023801,0.5197705163296292,0.21164250220008957,0.5743856135252888,1,0.8768307564618845,1.099088133816904,0.47599308942159446,1.180946576013964,0.6573224698648426,0.35237363975764235,0.2897131152187369,0.04566711600176285,0.968070349455164,0.7189127778252684,0.9277900700018696,0.6148072004336207,0.13988660194799668,0.13235572391909173,0.15450299906446582,0.684503673489847,0.059323904960585205,0.4813675822117284,0.7028307516901081,0.9257469401246765,0.21936510279791516,0.43747419545230515,0.6251042220191064,0.36025991905071714,0.7472607371098754,0.40083206643008107,1,1.1664713878217334,0.48503985366920754,0.15524297109868454,0.8510970503825759,1.1235029144342847,1,0.5040876241199652,0.651624985250431,0.5523776668069384,0.49219519014856017,0.49517910687462113,0.4813975790750718,0.43122772504615015,0.37960731912205037,0.5965971688594097,0.05434053010718753,0.9499064981941265,0.8258572705289731,0,0,Elijah Valenzuela,Cell Barajas,Jasper Blather,,,Lowe Forbes,0.09767961313653384,-0.7347164459410758,-0.6621747106957458,0,0,-0.5856461338404577,PERK,EARLBIRDS,,,WANDERER,,,TRIPLE_THREAT,2f4a6f5e-8e83-44f1-9ef7-688484d92fab,2841dc8c-b5a2-4b3a-a717-9e646e8e29fc,146,Weather.FLOODING,0,0,0,13,53,True,0,2,4,15,16,1,True,0.2711484877852879,0.5381075484883452,,0
