event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,runner_on_first_buoyancy,runner_on_first_divinity,runner_on_first_martyrdom,runner_on_first_moxie,runner_on_first_musclitude,runner_on_first_patheticism,runner_on_first_thwackability,runner_on_first_tragicness,runner_on_first_coldness,runner_on_first_overpowerment,runner_on_first_ruthlessness,runner_on_first_shakespearianism,runner_on_first_suppression,runner_on_first_unthwackability,runner_on_first_base_thirst,runner_on_first_continuation,runner_on_first_ground_friction,runner_on_first_indulgence,runner_on_first_laserlikeness,runner_on_first_anticapitalism,runner_on_first_chasiness,runner_on_first_omniscience,runner_on_first_tenaciousness,runner_on_first_watchfulness,runner_on_first_pressurization,runner_on_first_cinnamon,runner_on_first_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,fielder_multiplier,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,runner_on_first_name,batter_vibes,pitcher_vibes,fielder_vibes,runner_on_first_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,runner_on_first_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll,batter_consecutive_hits
Party,0.0014158190503421597,True,1.104717874221194,0.8382326730191755,1.1843073356356104,0.4121412369870784,0.37838181883120126,0.001,1.2423405373329628,0.001,1.0327488635246762,0.6899701513120295,0.9957352631826504,0.7810719645979081,0.5959362816499624,0.7944182975528054,0.7914861206778269,0.35121215524702387,0.2895686397302656,0.2366787008080446,0.31148034189307927,0.251383095099306,0.6112399116935008,0.06646621909086135,1.024260205523409,0.06768299028309699,0.49077389948719286,0.3538392087265827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1096783265036967,1.0880017571537508,0.5456423932112467,0.3277051971394871,0.7552024056300177,0.7831089811163433,0.24112606147457616,0.1,0.9226281636635716,0.954235396715146,0.45631378139333756,0.74664377714105,0.481914205595417,0.15838700685613571,0.2589774190029981,0.46950217989914494,0.365574366950423,0.2652105585671049,0.7564238688299098,0.5633426724165624,0.531967389992469,1.0090608496137157,1.109030311877904,0.5406950256856237,0.9114654038543171,0.8135501318383979,1,0,0,0,0,0,1,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.17234969185864205,0.10218500573927258,0.41503895957430403,0,0,Eugenia Garbage,Durham Spaceman,,,-0.42751961421290663,-0.7822765199308328,0,0,,HIGH_PRESSURE,,PARTY_TIME,,,9dcf3260-c152-4396-aa03-cf2135d27ee7,f71fd587-d20c-461c-88a4-1634a2df3f43,265,Weather.PEANUTS,0,0,1,14,75,False,4,0,7,14,18,0,False,0.8131223741778226,0.5082588783827773,,1
Party,0.004275337083891051,True,1.1923074407413492,1.1007055740677092,0.7633142292007002,0.870999389441883,0.8447803089834687,0.001,1.0068143499619426,0.001,0.7264941138151544,0.5132270027069166,0.3146960738671203,0.41746897682572054,0.23288175812001682,0.11205834031198886,0.6272170441063764,0.9032836862590582,0.7592160742644225,0.8600346005555842,0.5541652257649426,0.7382523313971773,0.2617974327396124,0.15492516264742615,0.4214508013539455,0.21599660539497997,0.7609978072552137,0.887759530762145,1,0.7676879619008992,0.88923123303327,1.1012843597334974,1.126339819079937,0.5504386167931167,0.001,1.0479187768288007,0.001,1.0194794657357429,1.0259753023679132,0.3682818141888992,1.0346692664772996,0.5499507198672546,0.5248036911625428,0.780688835734565,0.8819366648900164,0.36373150104575175,0.5865034973221178,0.9069461860648763,0.3493684176238053,0.9854494509627565,0.39536473379763115,0.5285900530749541,0.3234223410173554,0.10996281464053581,1.0228799275917995,1,0.5385170943399228,0.18981361978999803,0.20037734180173425,0.5146615626468243,0.6840822447721495,0.07703594725377894,0.5331042800906391,0.15350447635842368,1.0258093233215495,0.6950105208875184,0.19300856758451582,0.36917065974227986,0.8281540228673997,0.7733824412743672,0.09456293436460009,0.5834514385130017,0.8899291241600766,0.1803313443602852,0.7341390846791902,0.1019613191100523,0.9152756946260496,0.6908647185353906,0.16508671020731217,0.7895297415573308,0.14435710015681358,0.9643422166363963,1,0,0,0,0,0,1,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.1788892808539713,0.9347980359318309,0.10114148374666732,0,0,Fish Summer,Betsy Trombone,,Commissioner Vapor,-0.7112816902472995,0.3311003762582263,0,0.33041794396204227,FIRE_EATER,HIGH_PRESSURE,ALTERNATE;FRIEND_OF_CROWS,PARTY_TIME,,PERK,76561b33-e498-42b5-80e0-221ed4c87a38,f71fd587-d20c-461c-88a4-1634a2df3f43,244,Weather.BLACK_HOLE,2,2,2,14,80,False,5,1,7,14,18,1,False,0.7637836137311993,0.7309672744741514,,0
Party,0.0018099760113914343,True,0.7603740887520025,0.38880618096159714,0.5446981570175468,0.4619619658233822,0.5804320548968539,0.001,0.6638052106789253,0.001,0.8081918000628536,1.0429813001984338,0.5713543052262465,0.23600250547919174,0.6838925159153432,0.3551693644952971,1.0379232279767994,0.5446320610277624,0.8486199948605994,0.5576528452436991,0.3147126931822127,0.709099060898585,1.0250420908732556,1.5409585045140068,0.5517307649199976,1.2946249642245753,0.6822997757659564,0.25683625551563705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9371854495279643,0.15331239510323016,0.4169920255343835,0.42600458004596475,0.14556018002450738,0.6238825986795812,1.077086583818663,0.04011225247384004,0.9510617373377305,0.6672730992548463,0.8716956931662337,0.8084109923932342,0.735721114019327,1.0426907687901772,0.5813538396820958,0.34240198528379795,1.0599164987772507,0.5220780793107824,0.33138080606431924,0.6970424063026017,0.595290940921901,0.35970985618596,0.5107959658367092,0.9639019919335599,0.6735110277965328,0.42843706358284445,1,0,0,0,0,0,1,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.18002246924166634,0.7833283106293767,0.7740067528959065,0,0,Cedric Spliff,Parker Meng,,,-0.10824304672875781,-0.5682843485293212,0,0,,HIGH_PRESSURE,ALTERNATE;PERK;MINIMALIST,LOVE;PARTY_TIME,,,4f9a90f6-d41f-40ec-9f42-12cb0bd705e0,f71fd587-d20c-461c-88a4-1634a2df3f43,67,Weather.SALMON,1,1,1,14,81,False,0,0,2,14,15,0,True,0.13650611299319704,0.49062306422061386,,0
Party,0.004176417892515438,True,1.2613275670429303,0.4274539137861463,0.8737541699385161,0.6216750814405206,0.7409683089787114,0.570119660887764,0.8655407860601143,0.001,0.8325854716856268,0.7427616386690545,0.19839225347901532,0.6896500869285658,0.5258654062024429,0.3766434312348995,0.8915040549971025,0.6650416747229091,1.0774450250132768,0.2899604338017408,0.36704677978998357,0.6910462384906211,0.41209169318836514,0.5876325644276553,0.37071745673186157,0.9705030888988613,0.4557744108889843,0.6187237930591268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9371854495279643,0.15331239510323016,0.4169920255343835,0.42600458004596475,0.14556018002450738,0.6238825986795812,1.077086583818663,0.04011225247384004,0.9510617373377305,0.6672730992548463,0.8716956931662337,0.8084109923932342,0.735721114019327,1.0426907687901772,0.5813538396820958,0.34240198528379795,1.0599164987772507,0.5220780793107824,0.33138080606431924,0.6970424063026017,0.595290940921901,0.35970985618596,0.5107959658367092,0.9639019919335599,0.6735110277965328,0.42843706358284445,1,0,0,0,0,0,1,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.18002246924166634,0.143257705994688,0.3929338986774229,0,0,Jesús Koch,Parker Meng,,,0.03710901188845822,-0.5682843485293212,0,0,ALTERNATE,HIGH_PRESSURE,ALTERNATE;PERK;MINIMALIST,LOVE;PARTY_TIME,,,4f9a90f6-d41f-40ec-9f42-12cb0bd705e0,f71fd587-d20c-461c-88a4-1634a2df3f43,125,Weather.SALMON,1,2,0,14,81,False,1,0,4,14,15,0,True,0.419686933015341,0.7024280532093241,,3
Party,0.003567282660863924,True,0.6997267883070571,0.43908119144355423,0.7626435131335058,0.335267621924242,0.7419732680161433,0.001,1.1967059597100458,0.5460847105644062,0.84474182909808,0.8734024165069001,0.6354168582055807,1.0230627715136622,0.5810676627970832,1.0374838647431432,0.6747398868629975,1.1374103918991998,0.2762349936429883,0.36907521937163285,0.5631722652974512,1.2735465303876161,1.0892136314943486,0.6081914661300982,1.1993223177072319,0.607788743231265,0.7991980264111707,0.7316329710198456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9531682280947115,0.8370419203903399,0.42113317338327866,0.3857300126781234,0.9610632345172947,0.6931746044997811,0.6464956288676567,0.2996652882638246,0.5626661106942665,0.4295570172020312,0.6156988307705547,1.0615335889535211,0.33600984378837473,1.2047979535595987,0.6650033726470992,0.6639242580119078,0.738315519369464,0.7126588330810205,0.21596278091285315,0.05189067806711298,0.29725912335990795,0.7754307991989136,0.30257171871231037,1.0742213306298423,0.25770338518165786,0.7442823547042302,1,0,0,0,0,0,1,0.4899933874380886,0.5502516277472869,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.15343649220634498,0.2814702706947203,0.05344308089474925,0,0,Adelaide Judochop,Tot Clark,,,0.058478115535476716,0.7061465432356614,0,0,,MAINTENANCE_MODE;STALEPOPCORN_PAYOUTS,,PARTY_TIME,,,819fcb8d-e4e2-4129-b05c-70ae436f4f86,cb94ac8b-003b-4d95-baf3-7c14b1c3fc29,172,Weather.FEEDBACK,2,2,0,14,81,True,4,1,4,14,18,0,False,0.6281340346031605,0.5975038456706618,,1
Party,0.0008526008050344647,True,0.9449373398593208,0.6574243955887311,0.22416058746562545,0.9290179264305215,0.4682205466667396,0.28645063218754513,0.4051177678122666,0.052827589418632186,0.5725561147047018,0.7312557844209503,0.588347802715821,0.9407728018299979,0.8924186626568469,0.9737396494021769,0.9454750403709067,1.1705745854446554,0.3887482518770942,1.1382128819095794,0.3374564797966216,0.14775710068531983,0.4478969886445723,0.3505324017134813,0.9808664472050458,0.4182261149227939,0.8427501339313199,0.9658895041621711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2115320650687611,0.6530734037531807,0.3843815676825175,0.49912923514194585,0.026948103087579334,0.18627995926653051,0.2161383648357671,0.1,0.8900624714533705,0.5360770345052601,0.8177046605836391,0.11160057455880534,0.0888044270184154,0.2568681864878104,0.01,0.01,0.5314611379802637,0.250641898318651,0.1324029455811809,0.35319692402606884,0.05518798026433758,0.883147780293642,0.8195986524804952,0.005446576804651215,0.7071860243831654,0.4081373245219726,1,0,0,0,0,0,1,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.18002246924166634,0.8133629417614661,0.45954344315118445,0,0,Ortiz Lopez,Jenkins Good,,,-0.670040416843469,0.24480200168265856,0,0,FIRE_EATER,LOVE;PARTY_TIME,ALTERNATE;FRIEND_OF_CROWS,HIGH_PRESSURE,,,4f9a90f6-d41f-40ec-9f42-12cb0bd705e0,f71fd587-d20c-461c-88a4-1634a2df3f43,185,Weather.SALMON,0,0,0,14,81,True,3,0,6,15,14,0,False,0.8229423614927633,0.5975038456706618,,0
Party,0.004180401819742663,True,0.43082302919765575,0.9715840091407313,0.11178677878952908,0.5665036964062666,0.4119152716175567,0.2542013813604332,0.7755500207644003,0.08689245445363954,0.4715321277019374,0.1341706649438706,0.4901953944707488,0.6143103389616522,0.5104414888060353,0.6224470214977488,0.9465490712305696,0.8851815625703582,0.66104146333067,0.733412602289463,0.15703481870508942,0.8835852140695092,0.7180918561946085,0.6121989042162541,0.15279588616498754,0.4548565016588959,0.8572432930816274,0.35038279566219066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40114946245625965,0.9134480475627128,0.8519293711657472,1.0546340121873947,0.9258790993110246,0.7596323495882811,0.4063647260552206,0.02131971233603,1.0199242680699834,0.2866430958960934,0.9220981237543506,0.6722927299496521,0.41200811870322235,1.081093604716463,1.0131839009362433,0.32268236754450014,0.5627532652561371,0.5658836360746411,0.35063592847619335,0.8936134404108873,0.46708423659339526,0.5220109359515861,1.0680130108697403,0.2993909363166215,0.36994922097674765,0.4446017574546992,1,0,0,0,0,0,1,0.4899933874380886,0.5502516277472869,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.15590554294479037,0.7240914385352075,0.9900600564514406,0,0,Lotus Mango,Shirai McElroy,,,-0.06684175657352814,0.16318131579900233,0,0,,PARTY_TIME,,MAINTENANCE_MODE;STALEPOPCORN_PAYOUTS,,,ab75e6d8-f8dd-4342-9bf8-db0dc3630d74,cb94ac8b-003b-4d95-baf3-7c14b1c3fc29,103,Weather.FLOODING,0,1,2,14,82,False,1,0,2,18,14,0,False,0.7921367582960936,0.5620577400683505,,6
Party,0.00037351204296420804,True,0.7387734488690362,0.938086905430696,0.159258810979103,0.5593958397518464,0.5636517803073118,0.37605727470665495,0.8703406560221799,0.8563415446438253,1.0034983025557664,0.4581501404720049,0.5801078900281564,0.40648420553749387,0.7031827200489275,0.34318115147093786,0.8858676261726838,0.3721981768161996,0.21160327393501804,0.34055004558683677,0.721160318719098,0.7781891249212823,0.9744475459949704,0.2268914211028097,0.4591246240562409,0.840234324269138,0.05991269912827568,0.5039395605455211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5091212450187732,0.060075259742481596,0.7192102111420118,0.1109440649731927,0.6340206717267778,0.8138014030217469,0.4581559227538301,0.7284064284436584,0.8293885316526566,0.5893720668115965,0.6789872504346566,0.8178770207862778,0.6140151661351758,0.027885701393862483,0.6953125077029618,0.6302025635805959,0.5388971974087196,0.22386802077858525,0.42416580326619324,0.37192068322124583,0.5525526610973133,0.8834008726216129,0.9403664799456326,0.4926718978729481,0.9154458307182802,0.6167006468433232,1,0,0,0,0,0,1,0.5685230167828795,0.5575868059261502,0.5330753156607573,0.447159090235261,0.7817420578386327,0.29566173855836697,0.5747072370640139,0.5907127643182942,0.5575531445125658,0.15406457935820927,0.4732565729228566,0.7916123242881496,0,0,Mint Shupe,Wyatt Mason IV,,,0.010988692335422288,-0.8844144818217593,0,0,,UNDERSEA;PARTY_TIME,ECHO;ALTERNATE;FRIEND_OF_CROWS,SUN_KISSED;SUN2_PAYOUTS,,,bd3460e6-9ea9-4679-a1e3-fb78f173b39b,37c2743f-1a15-4e3f-bdb1-a6461df93434,174,Weather.PEANUTS,1,0,2,14,83,False,1,0,4,14,10,0,False,0.5896538298337739,0.5178289209869219,,0
Party,0.002599706734458085,True,1.0363794821794128,0.22292169669367057,1.1531831601556017,1.0288710374421228,0.8341266506028824,0.7512124152455752,0.7118436627465634,0.1,0.8432652594439404,0.38957573236193477,0.6671894795195927,0.7931544678075055,0.2844179064849761,0.5448742029979522,0.25306104847681293,1.058888665088906,0.35042638771885304,0.4296141127311721,0.5796897813408264,0.5138492241399824,0.5389397025327821,0.5111650830688889,0.07105896422887409,0.09348419314865702,0.7953263253708514,0.7298263363376538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.022167543713158,1.0264343333608827,0.3340512265994606,0.7769424444666673,0.14537272409302993,0.4452875004869448,0.3652875215593501,0.1630291494730483,1.021097401066804,0.8061935996667626,0.8217825350333536,0.8244597369048648,0.24113171078928697,1.02625135975378,0.585059193408329,0.8101707143812878,0.3139720643986561,0.3904613415554195,0.6121550690063599,0.16487769816732803,0.6479828486372439,0.2428756578948549,0.4108606295970577,1.0800237578500156,0.6480714289430347,0.8910608770475416,1,0,0,0,0,0,1,0.4899933874380886,0.5502516277472869,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.1572596424973268,0.04588230464990328,0.24614697523521212,0,0,Quack Enjoyable,Mindy Kugel,,,0.2590753332150855,0.4159949409124907,0,0,,PARTY_TIME,,MAINTENANCE_MODE;STALEPOPCORN_PAYOUTS,,,c0dd07d2-7c70-4415-ae42-3288e0bc225b,cb94ac8b-003b-4d95-baf3-7c14b1c3fc29,262,Weather.FLOODING,1,2,0,14,83,False,1,2,8,18,14,0,False,0.9378581231547745,0.6353587592229955,,0
Party,0.003432958003514619,True,0.8433204521594094,0.2983046997794702,0.7246578712841172,0.46969489957245514,1.230661829252102,0.5383194070772748,1.2044468333576202,0.04261345618871164,0.2673188653850858,1.1811158174017342,0.4794536615328678,0.6872012201708769,0.5445534126785788,0.6277395711439647,0.4993647342688586,1.2696024868456055,0.851975959139624,1.0423741112328853,0.9973417172584701,0.9851414253666728,0.539060503412507,0.3854396370559553,0.6665347657494292,0.5727266174136054,0.5449316274206509,1.176876221685967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6553650297029191,0.7461823546651389,0.2758047047750328,0.685631174822077,0.23800254466224574,0.788432616445673,0.16028145106976155,0.1357672951192848,0.4216339537797807,0.17231852723159405,0.22090569546017527,0.15465969691807147,0.17613837234928814,0.1834713734259221,0.4445064080975157,0.6068340236748676,0.04647704994693003,0.5699159546438743,0.22941989488687517,0.8930507954212692,0.041,0.041,0.041,0.041,0.6260620508749675,0.23837655922548165,1,0,0,0,0,0,1,0.46934888376296396,0.7270500122372818,0.440766599802753,0.49529640777130407,0.41134035737314395,0.598692635551642,0.48562885702968184,0.3770574015656983,0.57028744875978,0.15003950094906374,0.6349384102884541,0.037403112125369065,0,0,Dickerson Morse,NaN,,,1.176876221685967,-0.6135025433968333,0,0,,,FLICKERING;ECHO;ALTERNATE,LOVE;PARTY_TIME,,,40297c3e-cca5-44de-97bb-97af0f2f7d1b,1c1614b3-abdb-4008-98eb-12aeb8f7bb54,50,Weather.FLOODING,2,2,2,14,84,True,1,1,1,15,15,1,False,0.5547628764859922,0.4587107618312544,,0
