event_type,roll,passed,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,batter_coldness,batter_overpowerment,batter_ruthlessness,batter_shakespearianism,batter_suppression,batter_unthwackability,batter_base_thirst,batter_continuation,batter_ground_friction,batter_indulgence,batter_laserlikeness,batter_anticapitalism,batter_chasiness,batter_omniscience,batter_tenaciousness,batter_watchfulness,batter_pressurization,batter_cinnamon,batter_multiplier,pitcher_buoyancy,pitcher_divinity,pitcher_martyrdom,pitcher_moxie,pitcher_musclitude,pitcher_patheticism,pitcher_thwackability,pitcher_tragicness,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_base_thirst,pitcher_continuation,pitcher_ground_friction,pitcher_indulgence,pitcher_laserlikeness,pitcher_anticapitalism,pitcher_chasiness,pitcher_omniscience,pitcher_tenaciousness,pitcher_watchfulness,pitcher_pressurization,pitcher_cinnamon,pitcher_multiplier,fielder_anticapitalism,fielder_chasiness,fielder_omniscience,fielder_tenaciousness,fielder_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,ballpark_filthiness,what1,what2,batting_team_hype,pitching_team_hype,batter_name,pitcher_name,fielder_name,batter_vibes,pitcher_vibes,fielder_vibes,batter_mods,batting_team_mods,pitcher_mods,pitching_team_mods,fielder_mods,game_id,stadium_id,play_count,weather,ball_count,strike_count,out_count,season,day,top_of_inning,home_score,away_score,inning,batting_team_roster_size,pitching_team_roster_size,baserunner_count,is_strike,strike_roll,strike_threshold,fielder_roll
StealSuccess0,0.17825671509700958,True,0.6912048663234551,0.5358942328434306,0.9612108391373508,0.9833307890051238,0.9959929551312476,0.46898012424747576,0.9240789020896157,0.001,1.0829930534477816,0.6090914336360875,0.4155353389161443,0.25704016830667414,1.2174102935050815,0.38772296006341456,0.5689663183809917,0.7709891015829382,0.35260583030743103,0.9479389674263419,0.8338276204668691,0.4682830122538379,0.7210104321273687,0.3623651724261967,0.36189112071227314,0.6900949804877764,0.09875305243956367,0.6527536829358641,1,0.29306193647672146,0.5823180408604648,0.5135979958382774,0.5497075811143447,0.6389362773208148,0.4834119155179758,0.8775524481493205,0.1,0.9467109676789459,0.9898891618632119,1.0478697843463376,0.21087415009031632,0.7876359582035547,0.792019542612448,0.8900355785186811,0.5327899063933068,0.2487757243796733,0.27221025630842677,0.25049865506202673,0.9708147413175892,0.09402482516435046,0.27287157877768003,0.2486153094396874,0.09985691630035637,1.0518339472548597,0.4556018878299364,1,0,0,0,0,0,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.1427229741817779,0.5380623454476714,0.6071500530610656,0,0,Steph Weeks,Alexandria Rosales,,0.3222923787839849,-0.6749749884836542,0,FIRE_EATER,,,,,d6cf1fe5-869e-4add-b43c-071b58a470c0,60e78a6c-fe49-4283-8293-735e9fa7e3e9,66,Weather.FLOODING,1,2,0,14,75,False,0,2,1,15,15,1,True,0.33205853460170753,0.5995432389348019,
StealSuccess1,0.5640183519387925,True,0.8320227960685651,1.1879024735093948,1.105478717690213,0.7672854560122435,0.37535703775570806,0.6116223727626449,1.1779957056109354,0.060000000000000005,0.4717959732460675,0.8048631613577711,0.2869144066360412,0.13,0.9349543186597539,0.2778881186797526,0.8262306769319527,1.186679898111216,0.6519399736169529,1.224293332913102,1.0223781057402401,0.20647843419698114,0.49490715330688534,0.5810189341798917,0.20720359367397928,0.6237070584839424,0.21455030822645277,0.2797433695353353,1,0.8700409061585807,0.7288552442980905,1.041355960014178,0.923104867128844,0.5298607130928475,0.9074442229124385,0.14198993570379562,0.0573485103841473,0.4518869418041688,0.6241959285788911,0.782050790206378,0.4550226796034198,0.22909437875134608,0.873440030390508,0.6487075824229566,0.5613984892089592,0.07339014108031545,0.2516252149710079,0.4876789777640393,1.0131120374112599,1.060276730825869,0.8602181247339434,0.9164598493606104,0.7030081325978115,0.5350042475458512,0.4608977149572559,1,0,0,0,0,0,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.1427229741817779,0.8346932894345243,0.9670726718363907,0,0,Comfort Septemberish,Edric Tosser,,-0.12149700294941912,0.46089771495725596,0,,,ALTERNATE,,,d6cf1fe5-869e-4add-b43c-071b58a470c0,60e78a6c-fe49-4283-8293-735e9fa7e3e9,88,Weather.FLOODING,1,0,2,14,75,True,1,2,2,15,15,1,True,0.5716375172041952,0.7050623646079112,
StealSuccess0,0.7426812297756595,False,0.5777877005020693,0.9530080722549141,1.2807511024164668,1.204433223815764,1.151077695251996,0.1037711838684408,1.233535982007576,0.18295430733065943,0.6278583785651703,0.6984727808640049,0.5192464462826964,0.6273577688489037,0.36734602998241506,0.6292145309072822,0.7643796888262823,0.09312973394260526,0.39043410871517903,0.8721627253898954,0.5235878095754913,0.14433526952524525,0.8156412261753527,0.8640571801158027,0.2506456615858124,0.9581936667697039,0.026243309951627047,0.376660793375975,1,1.1096783265036967,1.0880017571537508,0.5456423932112467,0.3277051971394871,0.7552024056300177,0.7831089811163433,0.24112606147457616,0.1,0.9226281636635716,0.954235396715146,0.45631378139333756,0.74664377714105,0.481914205595417,0.15838700685613571,0.2589774190029981,0.46950217989914494,0.365574366950423,0.2652105585671049,0.7564238688299098,0.5633426724165624,0.531967389992469,1.0090608496137157,1.109030311877904,0.5406950256856237,0.9114654038543171,0.8135501318383979,1,0,0,0,0,0,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.17234969185864205,0.1996158912278283,0.7062774698154661,0,0,Alston Cerveza,Durham Spaceman,,0.1752087417121736,-0.7822765199308328,0,,HIGH_PRESSURE,,PARTY_TIME,,9dcf3260-c152-4396-aa03-cf2135d27ee7,f71fd587-d20c-461c-88a4-1634a2df3f43,100,Weather.PEANUTS,3,1,0,14,75,False,2,0,2,14,18,2,False,0.6769369691654672,0.5601462964080413,
StealSuccess0,0.14108582363467081,True,0.7676879619008992,0.88923123303327,1.1012843597334974,1.126339819079937,0.5504386167931167,0.001,1.0479187768288007,0.001,1.0194794657357429,1.0259753023679132,0.3682818141888992,1.0346692664772996,0.5499507198672546,0.5248036911625428,0.780688835734565,0.8819366648900164,0.36373150104575175,0.5865034973221178,0.9069461860648763,0.3493684176238053,0.9854494509627565,0.39536473379763115,0.5285900530749541,0.3234223410173554,0.10996281464053581,1.0228799275917995,1,1.1096783265036967,1.0880017571537508,0.5456423932112467,0.3277051971394871,0.7552024056300177,0.7831089811163433,0.24112606147457616,0.1,0.9226281636635716,0.954235396715146,0.45631378139333756,0.74664377714105,0.481914205595417,0.15838700685613571,0.2589774190029981,0.46950217989914494,0.365574366950423,0.2652105585671049,0.7564238688299098,0.5633426724165624,0.531967389992469,1.0090608496137157,1.109030311877904,0.5406950256856237,0.9114654038543171,0.8135501318383979,1,0,0,0,0,0,0.730681997444272,0.42410791017212784,0.7311452467775168,0.4391791221898321,0.5997941819201162,0.5487322736948579,0.5984538834873534,0.5802136293864534,0.5471392506253375,0.17234969185864205,0.8984470112994418,0.5314353942743157,0,0,Commissioner Vapor,Durham Spaceman,,0.10330060802986168,-0.7822765199308328,0,PERK,HIGH_PRESSURE,,PARTY_TIME,,9dcf3260-c152-4396-aa03-cf2135d27ee7,f71fd587-d20c-461c-88a4-1634a2df3f43,103,Weather.PEANUTS,0,0,1,14,75,False,2,0,2,14,18,2,False,0.8370703642835762,0.5276015828754682,
StealSuccess2,0.7823088768360009,False,0.15589454141642897,0.02623191794652338,0.6487027369207952,0.6057384540828238,0.041163310369240064,0.27093523952850285,0.6345547950694989,0.1546269600523703,0.18961866085061765,0.11386661962403391,0.10597837906179454,0.831700258259898,0.6635043929892291,0.7407812157238568,0.11024706633011143,0.2987604011565101,0.6223145905165816,0.14889139608127094,0.7004697324717996,0.88286166940349,0.0723607629528488,0.4893166593612398,0.5550158302734394,0.4508158526328942,0.01,0.725282391123682,1,0.29306193647672146,0.5823180408604648,0.5135979958382774,0.5497075811143447,0.6389362773208148,0.4834119155179758,0.8775524481493205,0.1,0.9467109676789459,0.9898891618632119,1.0478697843463376,0.21087415009031632,0.7876359582035547,0.792019542612448,0.8900355785186811,0.5327899063933068,0.2487757243796733,0.27221025630842677,0.25049865506202673,0.9708147413175892,0.09402482516435046,0.27287157877768003,0.2486153094396874,0.09985691630035637,1.0518339472548597,0.4556018878299364,1,0,0,0,0,0,0.5583868457447113,0.2689209714097342,0.43793583794946794,0.4707901467061844,0.5405005662530378,0.5442719081863592,0.4408548169896554,0.6398231967453444,0.4758011020471008,0.1427229741817779,0.4935913311990423,0.28792156253827894,0,0,Elijah Valenzuela,Alexandria Rosales,,0.09767961313653395,-0.6749749884836542,0,PERK,,,,,d6cf1fe5-869e-4add-b43c-071b58a470c0,60e78a6c-fe49-4283-8293-735e9fa7e3e9,104,Weather.FLOODING,2,2,1,14,75,False,1,2,2,15,15,1,True,0.399302331996374,0.5980094887034266,
StealSuccess0,0.25400262377366034,True,0.34582859502839636,0.3640714627510272,0.33043854539417894,0.8057603156972739,0.8826406721200692,0.001,0.46516556524494146,0.13775582110930862,0.8358352569105579,1.1441079890331767,0.7928756403205481,0.4942626430453383,0.6654827393131404,0.4579077956342307,1.2740174948401606,1.317535730320293,0.8054783618455639,0.3661608789540738,1.2859529323825998,0.5256769058499998,0.3251014061305401,1.0752910678808951,0.7137827560061725,1.133504282447551,0.09890834442096885,0.7964342363187145,1,0.2683809542870361,0.496451595895135,0.497596137531366,0.09046009196201532,0.11871546057774474,0.765942173732872,0.7345286106581608,0.1,0.7504690044073372,0.6230891743065818,0.8511488781849847,0.9544995718033094,0.8613677116071694,0.8906488521348184,0.08211476618712577,0.454177881885373,0.8091938904868134,0.9826530520462022,0.5537667108918316,0.9170280634911789,0.4973347769019631,0.14781958477695475,1.0368848606964975,0.7845090237044812,0.9726748972143404,0.9262913374058928,1,0,0,0,0,0,0.5139228432442815,0.27189547030055367,0.4362123214338329,0.41757810135105855,0.451727082953307,0.4440929302184828,0.5754171346258228,0.7546555506397025,0.5901708796528956,0.17541838530016915,0.3575601725075057,0.22228119262953894,0,0,Jan Canberra,Liam Snail,,0.12492730076395575,-0.497933338559274,0,,UNDERSEA,,LIFE_OF_PARTY;ELECTRIC,,bd9813e1-0216-470b-940d-61f1fd455465,a0851e18-d5d7-4749-b3c5-c6023fe1cc61,131,Weather.FLOODING,0,1,2,14,75,True,0,1,3,14,13,1,True,0.5851616364757917,0.7239272108900583,
StealSuccess1,0.5953479943032123,True,0.6756893069422013,0.8906015754345192,0.896762419260157,0.5757903552056954,1.0106905660361902,0.001,0.5404622739379233,0.001,0.6544979290499972,1.0559838592264201,0.26576271274017416,0.56783917663723,0.8910244659315535,0.9606273578135279,0.6936351235703728,0.8620497949630792,1.1993153548773023,0.8432285877101313,1.0866297487092211,1.524398996283856,1.0278238349609543,1.3785738669796144,1.6487084289211424,1.1191824111472892,0.38846026364367336,0.34197430816161245,1,0.6543610749489757,0.849371172987172,0.7784462711906405,0.5951327942926213,1.2972205899920277,0.001,0.5241506469020164,0.001,0.7619082444304024,0.7265388375102744,1.0517112803103612,0.5306861727719254,0.652107285654824,0.8748910467308729,0.7639579407416348,0.69216258288897,0.7906721143841265,0.9657898550612608,1.1317756566993251,0.5023832452208798,0.38930021200877285,0.56805146566022,0.8247123101512471,0.42736127007574654,0.28756718512942636,1.0628874947356106,1,0,0,0,0,0,0.5641918901049738,0.5226367089250308,0.7636733843662515,0.5864923438668687,0.42019865756958297,0.2357024279575276,0.5969603414053106,0.5394549078823694,0.48554363582994964,0.15005140902588965,0.3594213971152498,0.4149061477828655,0,0,Glabe Moon,Leach Herman,,0.020779101473533235,0.4690498167761903,0,SIPHON;PERK,BIRD_SEED,ALTERNATE;FRIEND_OF_CROWS,,,b9d3af10-7c24-4a7d-9fee-d3b322ecd58d,ba794e99-4d6b-4e12-9450-6522745190f8,135,Weather.SALMON,1,1,1,14,75,False,1,1,4,14,15,1,True,0.13599414878359117,0.6155968643429877,
StealSuccess0,0.42948284660328473,True,0.9013715492926748,1.0544412645521284,1.2020644499806787,0.7544313367709511,0.3697013361734604,0.3650366877189669,0.8658359608056941,0.001,0.723846163771481,0.8048393457368428,0.29377289322267097,1.062208384600063,0.8174600441977007,0.22478072159712914,1.0781503666716787,1.054788561326455,0.6428117254661245,0.7150701701001937,0.9005387778712671,0.7811288502849262,1.0040699510719338,0.8704721195725731,0.7470324099741187,1.1162627143785462,0.8198831108644654,0.4296385488951787,1.0378787878787878,0.5874715025569872,0.7860982614439476,0.05434398564002563,0.3618558088405128,0.5329743763111416,0.23239010302032237,0.7488303158678775,0.1,0.7482404751520125,0.27152321929836787,1.0601669220615577,0.7006484059724828,1.089123205708772,0.5186175740397724,0.36506544818594433,0.9979902133290799,0.4568139770123065,0.5862189669273643,0.8444089979078631,0.49756476420655726,0.24124426161932822,0.7486300718305892,0.45395091821630484,0.7876322279666477,0.8947575873112079,0.664327020992678,1,0,0,0,0,0,0.4899290560974432,0.5342454937183025,0.6435725875990583,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.1408208700013726,0.688714417607593,0.36096231366739184,0,0,Lenny Spruce,Famous Owens,,0.4296385488951787,-0.11521528315926649,0,,GROWTH,TRIPLE_THREAT,FIREPROOF;SEALANT;AMBUSH,,e53ba92c-46d8-43e9-a813-3f015979555e,d37abba6-9fba-463a-8f4f-7cf49de3c7b6,144,Weather.FLOODING,0,0,0,14,75,False,2,6,3,16,12,1,False,0.7627406446987728,0.6516699487634774,
StealSuccess0,0.3096131650788394,True,0.5685130827361226,0.40203209989328104,0.13280241005407079,0.19354999063100956,0.5844831167483694,0.7997598014761583,0.6360814904376875,0.031432982440852644,0.7713582827151929,0.6571320374102685,0.09122875878317496,0.11652814113728194,0.6478206373709063,0.05386620215164716,0.7104978127210543,0.6552988710977597,1.1310223151788548,0.5081497603990759,0.7018200126859641,0.06438902402541859,0.30588699278647724,0.4854119398601204,0.4764685362056875,0.5856224305680038,0.7902724055138329,0.21233914267185078,1,0.6357750873176015,0.8721604763688224,0.6408824061722884,0.3567597453655872,0.2130415606169705,0.7227333026673363,0.32456890337128164,0.027657963908973016,0.8933703539806085,0.9189080233158786,0.7708869926959914,0.1196370950119294,0.3476530124216177,0.32609188048885135,0.8209137462465141,0.3426433245987108,0.6944455058267247,0.7943764470270354,0.3766111523735709,0.9757811122087696,0.42042686486883674,0.7592105677658072,0.9596695271650697,0.440239049220248,0.9408542236529036,0.19682468966198197,1.2,0,0,0,0,0,0.734028825675743,0.5315151559526681,0.7678385756888914,0.46350321501464753,0.4587333642509046,0.528370617263836,0.5325150816744646,0.48330562996753273,0.5713775790775273,0.15011063045654838,0.31441299832466507,0.20758858065488406,0,0,Eizabeth Guerra,Cornelius Games,,-0.2889666314209921,-0.37201476699546193,0,,MIDDLING,WILD;PERK;OVERPERFORMING,TRAVELING,,a654bd87-3d05-4d6d-896e-eb7c8cba3747,36ae955c-6264-4437-8669-3053f62992e5,160,Weather.COFFEE,0,0,2,14,75,True,7,0,4,13,15,1,False,0.9114563962852804,0.5629471057300741,
StealSuccess0,0.596131870588736,True,0.6137274642122055,0.33420519691964745,0.9642957887418051,0.8444519843315,0.7180529363648905,0.23050947298736546,0.8781010369951974,0.615223348790864,1.093607852182681,1.087268913942356,0.9069100684129302,1.195589775071691,1.0044748456393506,0.3375422136964951,0.4575782644685792,0.8457084587110912,0.48671955499124886,0.37825430518628506,1.13164097371571,1.1698013822292717,0.9979439737371246,0.3485739469185111,0.4078418428986867,0.469498190238715,0.7309416046329924,1.0384141026273543,1,0.2683809542870361,0.496451595895135,0.497596137531366,0.09046009196201532,0.11871546057774474,0.765942173732872,0.7345286106581608,0.1,0.7504690044073372,0.6230891743065818,0.8511488781849847,0.9544995718033094,0.8613677116071694,0.8906488521348184,0.08211476618712577,0.454177881885373,0.8091938904868134,0.9826530520462022,0.5537667108918316,0.9170280634911789,0.4973347769019631,0.14781958477695475,1.0368848606964975,0.7845090237044812,0.9726748972143404,0.9262913374058928,1,0,0,0,0,0,0.5139228432442815,0.27189547030055367,0.4362123214338329,0.41757810135105855,0.451727082953307,0.4440929302184828,0.5754171346258228,0.7546555506397025,0.5901708796528956,0.17541838530016915,0.6666041978083113,0.057954688495819084,0,0,Niq Nyong'o,Liam Snail,,0.15373624899717925,-0.497933338559274,0,,UNDERSEA,,LIFE_OF_PARTY;ELECTRIC,,bd9813e1-0216-470b-940d-61f1fd455465,a0851e18-d5d7-4749-b3c5-c6023fe1cc61,161,Weather.FLOODING,0,0,0,14,75,True,0,2,4,14,13,1,True,0.31851880247650843,0.5137269003401218,
